1,Physical Properties,Economic and Practical,Performance,Ingredients
"واقعا خوبه... اصلا زیر نور آفتاب صورت سرخ نمیشه ‌و خبری از عرق صورت هم نیست. سبک هم هستش .تنها مشکل پلپ نبودن جعبه کالا بود. چند مورد دیگه هم وسایل آرایشی بهداشتی این مدت خریداری کردم از دیجی کالا که اونا هم جعبشون پلمپ نداشتن...خواهشا این مورد بررسی کنید

",No,Yes,Yes,No
"من خیلی از ضد آفتاب هارو امتحان کردم چه ایرانی چه خارجی و بدون شک این بهترین ضد آفتابه ! مخصوصا برای پوست های چرب و مستعد اکنه حتی‌ برای پوست های خشک هم خوبه. من ازش حتی دور چشم هامم میزنم نه سوزش ایجاد میکنه نه بو داره. واقعاً یکی از بهترین ضد آفتاب هاس و قابل رقابت با خارجی ها! کلا برند مای خیلی خوبه تازگی همه لوازم آرایشی بهداشتی رو از مای میگیرم! قیمت این هم توی دیجی مناسب تر از بیرونه

برند معتبر و قدیمی مای

محافظ خوب دربرابر آفتاب

جذب سریع

کیفیت

مواد تشکیل دهنده

فاقد پارابن و سیلیکون",Yes,Yes,Yes,Yes
"بنظرم خیلی خوبه به نسبت بقیه‌ی فلوییدهای ایرانی که خریدم این اصلا نه باعث عرق کردنم شد نه برق انداخت صورتمو و خیلی سبکه و زودجذب میشه،من عاشق بافتش شدم علاوه بر این ها تکنولوژی استفاده روی صورت خیس رو داره که خیلی ویژگی خوبیه👍 حتما توصیه میکنم فقط حتما باید خوب تکونش بدید و این طبیعیه که آبکی باشه چون بر پایه‌ی آبه من با این ضدآفتاب ورزش هم کردم صورتم عرق نکرد اما با فلویید ژیناژن صورتم خیس عرق میشد با اینکه گرون‌ترم هست

بافت سبک

بدون چربی

زودجذب",Yes,Yes,Yes,Yes
"با توجه به اینکه قدیمها برای لب دریا از ضدآفتابای مای استفاده میکردیم و خیلی چربو سنگین بودن، پیشرفت این برند توی تولید ضدآفتاب سبک برای صورت قابل تحسینه، حقیقتا با اینکه تعریفشو شنیدم توقع نداشتم خیلی خوب باشه، اما عالی بود، خیلی سبک و خیلی سریع جذب میشه حس میکنی چیزی روی پوست نیست و عرق نمیکنه. فقط حجمش یکم کمه، اگر بیشتر باشه دیگه یه محصول بی نقص میشه. ممنون از دیجیکالا.",Yes,No,Yes,No
"خیلی سبکه و خیلی خوب جذب میشه و اصلا چرب نیست، سفیدی هم ب جا نمیذاره. برای زیر ارایش و مصارف روزانه عالیه",Yes,No,Yes,No
خیلی ازش راضیم ۵تا ضد افتاب دارم این ضد افتاب از همش سبک تره,Yes,No,Yes,No
"عالی عالی عالی ، من که عاشقش شدم ، خیلی سبک و خوبه ، چون ماسک هم میزنیم این ضدافتاب برخلاف بقیه ضدافتابایی که داشتم مه عرق کرد نه رو پوستم سنگین شد که ازیت بشم ، امیدوارم با این کیفیت خوب بعدا گرون نشه ، کاش دوتا میخریدم",No,Yes,Yes,No
"بااینکه من پوستم چرب بود،و این کرم برا انواع پوست بود،ولی هیچگونه چربی و رد سفیدی رو پوست نمیندازه سریع عم جذب میشه",Yes,No,Yes,No
"فوق العاده سبک،جذب بسیار سریع، بدون رنگ. محشره؛ یک ضدآفتاب واقعی.",Yes,No,Yes,No
کارتون کثیف بود ولی خب مهم نیست مهم کیفیته که خیلی خوبه شبکه و اصلا چرب نیست زود جذب میشه و پوستم براق نمیکنه,Yes,No,Yes,No
"من تا به حال دو سه بسته ازش استفاده کردم. خیلی خیلی کیفیت خوبی داره. چند لایه ضدآفتاب می تونید بزنید بدون احساس سنگینی. اگر روتین پوستی مناسب پوست چرب هم داشته باشید، احتمالا پوستتون اصلا چرب نیم شه. هیچ رد سفیدی هم باقی نمی گذاره. در مجموع یکی از عالی ترین ضدآفتاب هاییه که به عمرم استفاده کردم.",No,No,Yes,No
"عالی و بی نظیره، خیلی زود جذب میشه و رو پوست صورت خوب می‌شینه، چربی خیلی کمی داره و فوق العاده سبکه همیشه تمدیدش میکنم‌. دوباره تمدیدش کردم و همچنان عالیه برای هر فصلی در خریدش تردید نکنید.",Yes,No,Yes,No
"من باهاش جوش نزدم، جاش نمیمونه، کلا خوبه سبک و خوبع",No,No,Yes,No
"من پوست صورتم چربه و این ضد آفتاب زیاد برق ننداخت صورتم رو و خیلی سبکه و سریع جذب میشه و رد سفیدی هم نمیذاره اصلا رو پوست

جذب سریع

سبک",Yes,No,Yes,No
"عالی عالییییی بهترین ضد آفتاب ایرانی قیمت مناسب خیلی سبکه خیلی خوبه عالیه قیمتش هم فوق العادس

بدون رد سفیدی

سهولت در پخس

سبک و زود جذببببب",Yes,Yes,Yes,No
واقعا نسبت به قیمت کیفیت خیلی خوبی داره‌ اصلا باعث جوش نمیشه خیلی سبکه و زود جذبه رد سفیدی اصلا نداره باعث خراب شدن و چرب شدن ارایش هم نمیشه,Yes,Yes,Yes,No
خوب جذب میشه برق نمیندازه و حس سنگینی نمیده ولی خوب اگ تخفیف بزارن خریدش رو پیشنهاد میکنم من با قیمت روی خود کالا خریداری کردم بسته بندی مناسب هم داشت,Yes,Yes,Yes,No
عالی روی پوست حس سنگینی نداره اصلا سفید سفیدک هم نمیشه,No,No,Yes,No
عالیه واقعا نقطه ضعفی ازش ندیدم,No,No,Yes,No
"خیلی خیلی خوبه من از سینره استفاده میکردم ولی جوشای گنده میزدم ولی این بی نظیره در نهایت پوست و مات میکنه و برای زیر ارایش هم مناسبه فقط قبل از استفاده به خوبی تکونش بدین

بدون بو

جذب سریع

خیلی خیلی سبکه",Yes,No,Yes,No
"این ضدافتابو جایگزین سینره زرد کردم و باید بگم عمیقا عااااالیه رقيق و سريع جذب پوست میشه اول که میزنین تا ۲-۳ دقيقه یکم براقه ولی بعد اون کامل مات میشه

سريع جذب میشه

رد سفیدی نمیزاره به هیچ عنوان

رقيق",Yes,No,Yes,No
"این ضد آفتاب سبک وبیرنگه،زود جذب میشه،برای انواع پوست همچنین برای بچه ها و آقایان هم مناسبه،چون رد سفیدی نداره",Yes,No,Yes,No
