1,Quality-related aspects,Cartridge and Ink aspects,Cost and Price aspects
"این پرینتر توی این رنج قیمت بسیار مناسب بنظر میرسه. البته معایب خاص خودشو داره. مثلا حاشیه چاپ از پایین خیلی زیاده، توی عکسی که پیوست کردم میتونید کیفیت چاپ و همچنین میزان حاشیه ها رو روی کاغذ ۶ در ۴ اینچ ببینید. یا در حالت کپی چه رنگی چه سیاه سفید خروجی خوب و باکیفیتی نداره. و مهم تر از همه اینکه کارتریج اش خیلی کوچیکه و برای من دو هفته نشده مشکیش خالی شد. البته جوهر شارژشو گرفتم. در کل باید حتما باهاش پکیج شارژ هم خریداری کنید",Yes,Yes,Yes
"بهترین پرینتر دنیا کارتریج پیرینتر رو بدین بیرون پرکنن هر ماه 20تا برگه چاپ کنید تا خراب نشه از دیجی کالا بخرین بهتره اگه چیزی رو میخواین چاپ کنید چاپ نمیکنه یا سفید میده بیرون نگران نشیدبرین تو تنظیمات پرینتر سایز کاغذ و رنگی یا سیاه سفید چاپ کردنش رو تنظیم کنید کاغذ عکس هم کاغذ عکس یونومات مدل Glossy Cast Coated Paper سایز A6 بسته 100 عددی بگیرین

همه چیز

اسکن با کیفیت

کپی با کیفیت

چاپ با کیفیت",Yes,Yes,No
"راضی هستم

این پرینتر را سه جهار ماه قبل خریدم .ابتدا برای اینستال کردنش مشکل داشتم اما با یک کامپیوتر دیگه و نصب ویندوز جدید مشکل حل شد.الان خیلی خوب کار میکنه . من توی پیشنهاد ویژه خریدم نود و نه هزار تومان . و باتوجه به قیمتش و میزان نیاز من ,کاملا جوابگو هست و دوستش دارم.خریدش رو پیشنهاد میکنم البته با توجه به نوع و مقدار نیاز اشخاص کاملا میتونه متفاوت باشه .مرسی دیجی خان.

قیمتش مناسبه.

صداش زیاده .",Yes,No,Yes
"نخریددددددد

بخدا نخرید هیچی جز دردسر نداره ، همیشه باید کارتیج شارژ کنید دردسره اخرشم پرینت نمیگیره
مزایا:
کیفیت بالا

کارتریج",Yes,Yes,No
"پرینتر سه کاره

سلام.یک سالی هست که خریدمش.الان پشیمون هستم.کاشکی یک پرینتر تک کاره لیزی میخریدم و یک اسکنر هم جدا.هر وقت هم که لازم به کپی گرفتن بود،اول اسکنش میکردم،بعد پرینتش میگرفتم.بهتر از اینه که مدام اسیر شارژ کارتریج جوهر افشان بشیم. الان در حال اصلاح نظر هستم.با قیمت فوق العاده گرانی که دو کارتریج این پرینتر گرفته ، خرید این پرینتر کاملا اشتباه است.یک عکس از کارتریج 445 این پرنتر که شکسته ام میگذارم.خودتون ببنید تو کارتریج چیه ، یک تیکه فیبر بوده و دیگر هیچ.

سه کاره بودن

کارتریج جوهر افشان

گرانی جوهر شارژ

نداشتن هواگیر مناسب برای کارتریج",Yes,Yes,Yes
سلام دوستان یه چیز که شاید بیشتر دوستان نمی دونند: *اول این که این کارتریج ها شارژ میشن که دوستان توضیح دادن. * دوم اینکه راه حل بهتریم هست: با تهیه تانک جوهر برای این پرینتر می تونید اونو مخزنی کنید تو اینترنت سرچ کنید تانک جوهر پرینتر ۴ رنگ نتایجو می تونید ببینید. یه نمونه عکس که از اینترنت گرفتم براتون میزارم,No,Yes,No
"پرینتر بسیار خوب

کیفیت چاپ بسیار خوبی داره.راه اندازی اسانی داره ولی در مورد اسکنر باید بگم خوب نیست و عکس رو روشن اسکن می کنه ولی اسکن اسناد و نوشته ها رو خوب و با کیفیت انجام میده.در کل من حتما پیشنهاد میکنم بخرید.البته کارتریجش از نوع استارتر است و خیلی کم چاپ میکنه.اگه به یوتیوب برید و مدل پرینتر رو جست و جو کنید اموزش شارژ کردن کارتریجش رو به شما اموزش میده و از خریدن کارتریج نو بی نیاز میکنه.یادتون باشه همراهش کابل پرینتر هم بخرید.",Yes,Yes,No
خوبه و عالی و باکیفیت فقط یه مشکلی که داره اینه که کاتریجش گرون هست ولی میشه با قیمت ارزان شارژش کرد,Yes,Yes,Yes
"کسانی که واسه کار خونگی میخوان حتما بخرین ، اون دوستانی که میگن یک بار مصرفه بلد نیستن کارتریج شارژ کنن، جوهر چهار رنگ(cymk) مناسبش هست،من دارم از کیفیت عکس خیلی راضی ام ، یه لحظه هم دریغ نکنید برای شارژ کارتریج توی اینترنت بنویسید : آموزش شارژ کارتریج Canon mg2440 بسیار آسون هم شارژ میشه",Yes,No,No
قبل خرید توجه کنید اگر حداقل هفته 1 بار نیاز به استفاده از پرینتر دارید خریداری کنید یا حداقل یک عدد کپی رنگی بگیرید وگرنه کاتریجها خشک می‌شود و هزینه خرید کارتریج باقیمت خود پرینتر برابری میکنند در ضمن در صورت خرید جوهر به وسیله سرنج انسولین میتوانید کاتریجها را شارژ کنید باز هم یاد آوری میکنم حداقل هفته 1 کپی رنگی بگیرید تا حد کاتریجها خشک نشود 3 کاره بودن این پرینتر شما از خرید اسکنر برای همیشه بی‌نیاز می‌کنه اگر صحیح استفاده کنید بیشتر از پولی که می‌پردازید بهتون کار میده,No,Yes,Yes
سلام دوستان اگه از قیمت کارتریج شاکی هستین باید بگم که اصلا لازم نیست هر دفعه کارتریج بخرید چون این پرینتر کارتریجش از نوع قابل شارژه و میتونید باخرید یک جوهر مخزن جوهر را به کارتریج خود با سرنگ تزریق کنید. میتونید از اینترنت فیلم آموزش شارژ کردن هم ببینید یا بدین بیرون شارژ کنن.,No,Yes,No
"من باورم نمیشد اینقدر خوب باش اخه با این قیمت خیلی کاربردی دیگه از شر کافی نت برای کپی گرفتن و... راحت میشین واقعا اگه نخرید ضرر کردید

رنگی وسیاه سفید

شارژ راحت کارتریج

کیفیت خوبجمع جور",Yes,Yes,Yes
"با سلام این چاپ گر من حدود 3 ماه خریده ام بسیار عالی و مخصوص مصارف خانگی هست و خیلی هم پر کاربرد . بنده پیشنهاد می کنم ، برای شارژ کردنش هم با هزینه کم قابل شارژ هست &#171;کافی چهار رنگ اصلی زرد، قرمز، ابی و سیاه را که اکثر فروشگاه هم دارند تهیه کرده و با سرنگ دو میلی لیتری به کارتریج تزریق کنید. توضیحات بیشتر در اینترنت گفته اند.&#187; هرکس موفق هست لایک کنه

قیمت بسیار مناسب مخصوصاً در شگفت انگیز

در کاربرد

کیفیت چاپ بالا

زیبایی

صدا

سرعت چاپ",Yes,Yes,Yes
سلام من این پرینتر از پیشنهاد شگفت انگیز خریدم برای کار خانگی باید بگم که حرفه ای نیست ولی برای خونه کار راه انداز خوبیه خیلی از دوستان گفته بودن که کاتریج شارژ نمیشه خیلی ها بلد نیستن کاتریج چطوری شارژ میشه میندازن گردن کاتریج که اصلا شارژ نمیشه خیر چرا شارژ میشه من خودم تا حالا 3بار شارژ کردم خیلی هم راضی هستم برید توی اینترنت سرچ بکنید که کاتریج کانن مدل 2450چطوری شارژ کنم فیلم دانلودش هم هست این دیگه کاری نداره دوستان توجه کنید که هیچ کاتریجی نمیشه که شارژ نشه من خودم پک شارژ کاتریج تهیه کردم و تا حالا 3بار شارژ کردم میتونم بگم با این پک شارژ تا 10بار دیگه هم میتونم شارژ کنم اصلا احتیاج به کاتریج عوض کردن نیست توجه بکنید که تا 15روز از کاتریج استفاده نکنید خشک میشه و قابل شارژ نیست اونوقت باید کاتریج بخرید که برای اونم راه حل هست موقعی که از کاتریج نمیخواید استفاده بکنید ان را از پرینتر خارج کرده بصورت سر بالایی یک جا ثابت میزارید و از انجا که جوهر خارج میشه چسب نواری یا بهتره چسب زخم استفاده بکنید که دیگه خشک نمیشه من نظر شخصی خودمو و تجربه خودمو گفتم امیدوارم بدردتون بخوره,Yes,Yes,No
