1,Quality,Design,Performance,Camera,Price
"من از بیرون تهیه کردم به دلایلی، تجربه استفاده ۱۰ روزم اینه که این گوشی فوق العادس، دوربینای واقعا با کیفیت و قدرتمند، پردازنده و گرافیک عالی، گوشی اصلا داغ نمیکنه، موقع شارژ یه گرمای خیلی کمی داره، خوب شارژ نگه میداره، ۱ روز کامل، قلمش جالبه و اگر یادبگیرید باهاش کار کنید لذت بخشه، خلاصه همه چی تمومه",Yes,No,Yes,Yes,No
با تشکر از دیجیکالا گوشی یک روزه بدستم رسید پلمپ بود و براحتی رجیستر شد,No,No,No,No,No
خیلی ممنون بابت ارسال سریع و بسته بندی خوب گوشی کاملا پلمپ بود خیلی خوش دسته کیفیت ساخت فوق‌العادس امیدوارم همه بتونن این گوشی رو بخرن,Yes,Yes,No,No,No
کیفیت ساخت عالی دوربین فوق‌العاده پخش موسیقی دالبی صدا فوق‌العاده صفحه نمایش اون قدراهم که میگن ضد خش نیست ولی کیفیت تصویر فوق‌العاده زیبا و واقعی هست هنوز زیاد باهاش کار نکردم یکم که کارکردم تجربو کامل میکنم,Yes,No,No,Yes,No
"گوشی خوبیه، سخت افزار قدرتمند و نرم افزار عالی بخصوص هوش مصنوعی اون، ولی خیلی گرونه.",Yes,No,Yes,No,Yes
سلام وقت همگی بخیر بنده ۱۳ مکس فروختم و اینو گرفتم فکر کنم لازم نباشه درمورد گوشی صحبت کنم اما ی سری بحث ها در مورد آداپتور هست که برخی میگن ۴۵ یا ۲۵ دوستان داخل سایت سامسونگ خودشون اعلام کردن ۲۵ وات ینی گفتن کابلی که براتون تو پک کارتن گذاشتیم مناسب ۲۵ وات هست اگر لازم بود ۴۵ وات که تفاوت شارژی نداره من خودم از ۲۵ وات استفاده میکنم و مشکلی هم نداره ی مقدار از ۴۵ وات داغ تر میشه فقط,No,No,Yes,No,No
خوبه فقط احساس میکنم s23 ultra یکم کیفیت صفحه نمایشش از ۲۴ بهتره,Yes,No,No,No,No
قبل از این a53 داشتم سرعت پردازش خوبه عالی نیست دوربینش واقعا اینکه فکر کنید زوم کنید و ماه رو ببینید نیست نسبت به گوشی های دیگه یکم بهتره وزنش زیاده اصلا قلم برای چی گذاشتن واقعا نیاز نمیشه اصلا صفحه خیلی کوچیکه که بخوای یادداشت کنی هوش مصنوعیش هم تازه اول راهه. این مورد که تو گوگل سرچ میکنه بدک نیست هوش مصنوعیش فارسی بلد نیست,No,Yes,Yes,Yes,No
خیلی حال کردم با خریدش عالیه صفحه نمایش با کیفیتی داره,Yes,No,No,No,No
من رنگ نچرالش رو خریدم واقعا زیباست به نظرم یکی از بهترین پرچم دارهای حال حاضر بازار,Yes,Yes,No,No,No
"فوق العادست،زیبا،کیفیت دوربین عالی،سرعت،باطری عالیه عالی تو یه هفته دو تا خریدم...",Yes,Yes,Yes,Yes,No
واقعاً عملکرد بسیار عالی ,No,No,Yes,No,No
میتونم بگم هیچ نکته منفی برای این گوشی وجود نداره و فوق العاده ارزش خرید بالا تری به نسبت رقبا داره,Yes,No,No,No,Yes
ضعف باتری تمام نقاط خوبشه پوشونده تو استفاده نیمه سنگین تو 8 ساعت از 100 به 20 میرسه واقعا فاجعه اس همچین شارژدهی من اگه میخواستم یه پرچمدار داشته باشم و روزی دوبار گوشیمه شارژ کنم خب میرفتم پیکسل 8 پرو میگرفتم فقط رابط کاربری و قلم فوق العادش فعلا نگهم داشته که نفروشمش تا آپدیت بعدی منتظر میمونم اگه باتری درست نشد علی رغم میل باطنی ردش میکنم و مجیک6 پرو میگیرم,Yes,No,Yes,No,No
حرفی نیست معرکه است البته بجای خاکستری دیجی کالا برای من رنگ بلک رو فرستاد و من دیگه مرجوع نکردم چون نیاز داشتم بهش اون تایم ولی مرسی عالیه این گوشی,Yes,No,No,No,No
زود شارژ خالی میکنه,No,No,Yes,No,No
یه گوشی همه چی تموم و خیلی قویه که دیجی کالا تو کمتر از ۲۴ ساعت به دستم رسوند,Yes,No,No,No,No
"پرچمدار سامسونگ. قیمت دی جی کالا پایین‌تر از بازار بود گارانتی ۷ روز تعویض بی قید و شرط، من از فروشگاه حضوری دی جی کالا توی مجتمع رویال خریدم",Yes,No,No,No,Yes
قطعا یک انتخاب خوب ارجحیت اصلی نسبت به اس۲۴ اولترا تخت بودن کامل و لبه نداشتن ال سی دی,Yes,Yes,No,No,No
در کل بهترین گوشی که تو ایران بشه خرید,Yes,No,No,No,No
گوشی خیلی خوبیه فقط ی مشکل داره اونم مصرف بالا باطری هست به شدت بالاست اگه کسی نکته ای داره تو قسمت نظرات ی نظر بزاره میخونم و راه های زیادی از جمله پایین اوردن کیفیت صفحه نمایش و تم تیره و... کردم جواب نداده در حدی که تو وبگردی تا ۷ یا نهایت ۸ ساعت از ۱۰۰ به بیست میرسه,No,No,Yes,No,No
