1,Quality,Performance,Design,Price,Ease of use
خیلی خیلی خیلی سریع غذا پخته میشود . و من موعتقدم که روی دست پختم خیلی تاثیر میگذاره,No,Yes,No,No,No
برای تحویل گرفتن کالا سه بار مراجعه کردم بعبارتی اگر درب منزل را انتخاب می کردم مقرون به صرفه بود,No,No,No,Yes,No
من چندین ساله که دارمش یه ۶ لیتری دارم یه ۴ لیتری واقعا راضیم . البته هر چند وقت باید درش رو ومحل بخارش رو باز کنیم و بشوریم,Yes,No,No,No,No
دوستان اون علامتی که رو درشه محل استقرار درش رو بدنس که نشانگذاری شده بابا دفترچه رو بخونید حداقل!!!,No,No,Yes,No,No
مسخره اس چون حتی آف هم نداشت ولی مرجوعی دوستان رو فرستادن برای من . حتی پلاستیکش هم باز نمیکنم و عکس میگیرم که مرجوع کنم دوباره نظر مینویسم که به من پیام دادن کالا سالمه و اون جزئ خودشه واقعا جز خودش بود و استفاده ازش واقعا لذتبخش بود,Yes,No,No,No,No
بسیاااار عالی زودپز و فقط باید پارس استیل خرید هم قیمت مناسب و هم کاری عالی حتی بهتر از نمونه خارجی بسیار مقاوم ایمن شستشو راحت تایم کم غذا جا افتاده و خوشمزه خلاصه هرچی بگم کم گفتم با خیاااال راحت بخرید,Yes,Yes,No,Yes,Yes
دو تا از این زود پز همزمان سایز کوچک و بزرگ خریدم ولی هر دو به ۶ ماه نرسید خراب شد زیاد نمیشه استفاده کرد سوپاپش در میره و خطرناکه,Yes,No,No,No,No
عالیه بخرید در کمترین زمان ممکن بهترین پخت رو انجام میده و اب رو هم درون خود نگه میداره,Yes,Yes,No,No,No
من خیلی راضی ام فقط باید دستتون بیاد چقدر زمان برای پخت بزارید چون له میکنه,No,Yes,No,No,Yes
"دوبار استفاده کردم ، دفعه اول مرغ گذاشتم خوب بود ، دفعه دوم گوشت گذاشتم سر و صداش زیاد بود در حدی که چند بار از ترس منفجر شدن گازو خاموش کردم ولی نتیجه نهایی خوب بود",No,Yes,No,No,No
ارسال مدل ۲ لایه به جای مدل کف ۳ لایه به عمد روی کارتن جمله ۲ لایه را خط زده بودن,Yes,No,Yes,No,No
"هنوز استفاده نکردم اما تعریف این مارک رو خیلی شنیدم و چون اقوام از این زودپز استفاده می کنن و راضی هستن، خریدم اما وقتی به دستم رسید روی درش زدگی داشت هرچند خیلی چیز خاصی نبود اما به هر حال درست نیست که دی جی کالا محصولات رو بدون نظارت بفرسته ضمن اینکه برگه ضمانت نداره و در دفترچه قید شده از تاریخ خرید کالا گارانتی شروع میشه",Yes,No,No,No,No
الان تقریبا یک ماهه استفاده میکنم.عدس تو یک ربع پخت .نخود نیم ساعت.گوشت تقریبا یک ساعت .مزه غذا عالی میشه.همه ی مواد سوپ و بریزید توش بعد ۴۵ دقیقه سوپ خوشمزه تحویل بگیرید.صداش کمه. اول توش شید و آب طبق دستور دفترچه ش بحوشونید تا استیل تغییر رنگ نده.همه جوره عالی.بسته بندی هم کامل و تمیز.من خیلی تحقیق کردم و خوشحالم پارس استیل خریدم هم قیمتش منصفانه بود هم کیفیت خوبی داشت.ممنون از سازنده و فروشنده🥰,Yes,Yes,No,Yes,No
سر دیگ زود پز ضربه عمقی در حدود یک سانتیمتر داشت که از مرجوع کردن آن صرف نظر کردم,Yes,Yes,Yes,No,No
سلام. اون قسمتی که دوستان میگن رو درش ضربه دیده. اون علامتیه که درش ازون قشمت جا بیوفته. توی زودپزهای دیگه فلش هستش,Yes,Yes,Yes,No,No
من بعد از کلی تحقیق خریدمش و واقعا راضیم ❤ اول زود پز یونیک داشتم که پس دادم و قیمت مناسب ترشو ایرانی پارس استیل خریدم که کیفیتش خیلی از یونیک بالاتره ❤,Yes,No,No,Yes,No
زودپز خیلی خوبیه غذا توش خیلی عالی میپزه و سرعت پختش سریعه نسبت به زودپز های خارجی و قیمت های بالاشون این زودپز خیلی بهتره و همون کارایی رو داره ۶ لیتری برای خانواده و حتی چندین مهمون خیلی اندازس,Yes,Yes,No,Yes,No
ببینید دوستان من موافق کالای باکیفیت ایرانی هستم این زودپز پخت فوق العاده ای داره اصلاً یه جوری بی صداست آدم میترسه همش حس میکنه کار نمیکنه اما وقتی نتیجه رو میبینی شوکه میشی بس که عالی و بدون نقصه اگر که نکات ایمنی رو رعایت کنید شاهد کارایی عالی هستین این نظر رو بعد از سه سال استفاده دارم ثبت میکنم با اطمینان خاطر کامل خرید کنید,Yes,Yes,No,No,No
در مجموع خوبه .تا حالا جرات نداشتم زودپز بخرم . چون میترسیدم .نمیدونم حالا برتری داره نسبت ب بقیه یا نه ‌اما بنظرم زود پز خوبی باشه . فقط اون قسمت دربش ک حالت ضربه خوردگی داره بنظرم خیلی بی سلیقه گی شده.تو ذوق میزنه . کاش اون قسمت ی طرح میزدن یا نوشته میزاشتن .بهتر میشد.,Yes,No,Yes,No,No
خوب و زود به دستم رسوندن و عالی بود بسته بنده تمیز و زیبا و با عکس یکی بود,Yes,No,Yes,No,No
من این زودپز رو از جای دیگه ای خریدم جنسش عالیه سریع غذا پخته میشه داخلش و در کل زودپز خیلی خوبیه.دوستانی که میگن درش ضرب خورده اون ماله خوده در هست نشانه ست برای محل بسته شدن صحیح در.,Yes,Yes,Yes,No,No
"جنس ایرانی با کیفیت که ادم کیف می‌کنه ، اول میخواستم دبلیو ام اف بخرم اما اینو اتفاقی دیدم و خریدم،عالیییه ضعفی ندارد واقعا",Yes,Yes,No,No,No
"من راضی بودم، خیلی بهتر از اونی بود که فکر میکردم مخصوصا کم صدا بودنش برام مهم بود",Yes,No,No,No,No
در کل عالی بود. ولی صدای سوپاپ ازار دهنده ایی داشت. قيمتي ارزان تر از همه جا داشت. زیبا خوش پخت. پخت سریع. در کل از خریدم راضی هستم.,Yes,Yes,Yes,Yes,No
"خیلی خوب و عالی همین طور که بود قبلا استفاده کرده بودم از این محصول خیلی بهتر از خارجی است ، این و برای هدیه مادرم خریدم .",Yes,No,No,No,No
"کله پاچه و سیرابی را ۲ ساعته کاملا پخت و حجم آب خیلی کم نشد ،عالی",Yes,Yes,No,No,No
زودپز خوبیه ولی برای خروج هوای داخلش باید زیر آب بگیریش. من پول زودپز خارجی نداشتم و کارمو راه انداخت,Yes,Yes,No,No,No
به نظر من تمامی زودپزها رو فراموش کمید خودم دوتا زودپز فیسلر و تفال دارم اینو برای ویلا خریده بودم ولی الان فقط از پارس استفاده می کنم,No,No,No,No,No
"بعضیا نوشتن زدگی داره، در حالی که اون فرورفتگی عمدیه برای اینکه بدونید درب رو از کجا ببندید و بعضیا نوشتن صدا داره، که معلوم میشه طرز استفادشو بلد نیستن و شعله رو باید کمتر کنن تا صدا قطع بشه، در واقع باید طوری شعله رو تنظیم کنن که خط دوم دیده بشه، ولی بالا نیاد",No,No,Yes,No,Yes
مامانم ی بییت سالی هست داره انقدر که ایمنه یکی هم تازگی گرفتیم با همون کیفیت,Yes,No,No,No,No
با اینکه شک داشتم ایرانی بخرم یا نه الان واقعا راضیم و دلم خواست این نظرم رو با دیگران هم درمیان بگذارم,Yes,No,No,No,No
من قبلا یه بار این محصول رو خریده بودم و الان هم برای یه بنده خدایی مجددا تهیه کردم هم جنسش خوبه هم کار راه انداز برای خودم توی جعبه هم در شیشه ای داشت هم سبد بخار پز ولی هیچکدوم اینا توی این یکی نبود,Yes,Yes,No,No,No
امروز ب دستم رسیده هنوز استفاده نکردم ولی خیلی مرتب بسته بندی شده بود و خیلی زود ب دستم رسید ممنون از دیجی,No,No,No,No,No
برای مامانم گرفتم راضی هست جز صدای بلند که اوایل عادت نداشتیم و حسابی می ترسیدیم نکته منفی دیگه ای نداره حجم ش برای خانواده 4 نفره مناسب هست,Yes,No,No,No,No
"با کیفیت ، قیمت مناسب ، اَمن و ایرانی...دیگه چی بهتر از این ... خیلی سرعت آشپزی رو بالا میبره و آشپزی خسته تون نمی کنه...ممنون از پارس استیل و دیجی کالا",Yes,Yes,No,Yes,Yes
من فقط از این جهت ایرانی خریدم چون قطعاتش اینجا هست .کیفیت بدنه و کف عالی . کیفیت در و دسته مناسب. فقط خوبیش این هست که اگر شکست یا خراب شد اینجا میتونید تعمیر کنید. برای سبد هم نمایندگی زنگ زدم گفتن اگر روی جعبه نوشته باشه با سبد داخلش هست وگرنه نداره.,Yes,No,No,No,No
"من تقریبا یک هفته است این زود پز به دستم رسیده از روزی که دارم استفاده میکنم آشپزی برام لذت بخش شده به قدری که این زود پز عالیه، فقط قیمتش یکم بالاست ،از دیجی کالا تشکر میکنم",Yes,Yes,No,Yes,No
با سلام بنده این زودپز تازه به دستم رسید عرض کنم که استفاده کردیم عالی بود عالی جنس مرغوب و باکیفیت لاستیک مرتب و تمییز و عالی از خریدم راضی راضی هستم با تشکر از دیجی کالای گرامی,Yes,No,No,No,No
کیفیتش مناسبه. برادرم چند ساله ک داره منم برای همین گرفتم. ولی قبلا توی بسته بندیش واشر اضافه داشت اما اینی ک من گرفتم نداشت. کلا جنس باکیفیت ایرانی رو به خارجی ترجیح میدم,Yes,No,No,No,No
"زودپز خیلی خوبیه،من دو ساله دارم ازش استفاده میکنم و واقعا عصای دستمه و راضیم ازش ... اما الان خیلی گرون شده من مهر ۹۸ ، ۷ لیتریش رو خریدم ۵۸۰ و الان اسفند ۱۴۰۰ شده ۱۵۰۰ میخواستم کوچیک ترش رو بگیرم برا دم دست اما واقعا گرون شده",Yes,Yes,No,Yes,Yes
زودپز بدی نیست ولی یک دفعه برای خارج کردن بخار بد صدای میده و وحشت میکنه اونای که نشستن,Yes,No,No,No,Yes
در اصل با این قیمت بد نیست ولی اگر اعصاب صدای یک دفعه بلند ندارید توصیه نمیکنم چون یک دفعه برای خالی کردن گاز بخار داخل زودپز صدای وحشت ناکی میده,Yes,No,No,Yes,No
دوستان اون خط کنار دسته برا تنظیم در هنگام بسته شدنِ دسته ست باید اون خط روبری دسته ی پائین قرار بگیره و بعد بچیونین به چپ اون ضرب دیدگی نیست چون دیجیکالا تمام کردا بود این کالا رو من از نمایندگی خریدن واقعا عالیه اونجا کامل برا من توضیح دادن,Yes,No,Yes,No,No
به نظر من اگه بتونن کاری بکنن که تو رفتگی روی در حذف بشه و یک نشان به جای اون بذارن برای بستن در بهتره در کل خیلی خوبه و کیفیتش هم عالیه,Yes,No,Yes,No,Yes
"من واقعا تعجب می کنم دوستان زحمت نمی کشن یه بار دفترچه راهنما بخونن! و سریع مرجوع میکنن. اون علامت روی در که گذاشتن برای راحت تر بستن درب زودپز هست ، جای ضربه و خط خوردگی نیست! تو این یه هفته ای که استفاده کردم کاملا بی صدا بوده و راضی بودم.",Yes,Yes,Yes,No,No
باید طبق برنامه ایی که داخل دفترچه کالا میباشد پخت انجام شود ولی زمان پخت طولانی تر است,No,No,No,No,No
روی در ضربه خورده بود و من بسته رو باز نکرده بودم و چون یک روز از مهلت عودت گذشته بود پس نگرفتن از من,No,No,No,No,No
با شرکت پارس استیل تماس گرفتم گفتند ابتدای کار است بعد از مدتی صدا کم می شود.,No,No,No,No,No
استفاده نکردم اما جنس بدنه خوبی داره و به نظرم با جنس های خارجی رقابت میکنه و حتی بهتره,Yes,No,No,No,No
سلام بسیار سریع . من ازش حتی به عنوان قابلمه هم استفاده میکنم و روش در عادی میزازم,No,Yes,No,No,No
با سلام من از انتخاب و خرید این کالا رضایت کامل دارم چون چیزی بود که انتظارش را داشتم.,Yes,No,No,No,No
"کنار دسته استیل ترک داره، و با اینکه شعله زیرش خیلی خیلی کمه باز زیرش آب میده",Yes,No,No,No,No
"در این زودپز غذا بسیار سریع می‌پزد و آب هم کم نمی‌کند با خیال آسوده میتونید غذا رو بزارید داخلش و برید دنبال کارهاتون، من خیلی دنبال زودپز خوب میگشتم چون زودپز قبلیم هم خارجی بود دنبال خارجی بودم ولی به توصیه دوستان این زودپز رو خریدم که خدا را شکر در این چند ماه که دارم استفاده می‌کنم کاملا راضی هستم ممنون از دیجی کالای عزیز که همیشه کالاها رو به موقع به دستم رسونده حتی با قیمت مناسب تر از بیرون",Yes,Yes,No,Yes,Yes
برای مادرم به عنوان هدیه خریدم و پس از چند بار استفاده کاملا راضی بودن ازش.,Yes,Yes,No,No,No
باتشکر از سایت دیجیکالا این زودپز از تمام زودپز های خارجی بهتر وارزانتر هست و در ضمن ارزانتر از بازار باخرید این کالا به تولید داخلی کمک کنید واقعا عالی عالی,Yes,No,No,Yes,No
با شعله بسیار کم و بسیار اقتصادی از نظر استفاده گاز. زمان پخت بسیار کوتاه. استیل براق و زیبا. واقعا نسبت به مشابه های خارجی قابل رقابت. تنها نکته ای که وجود دارد برای خارج کردن بخار بعد از پخت باید زیر اب گرفته شود . به نظرم این موصوع استفاده را مشکل میکند. چون اب مصرف میشود . البته شاید بدون آب هم اگر مدتی بماند خودش بخارش را خارج کند. این را امتحان نکردم. به نطر م مدل با در پیرکس خریداری شود بهتر است.,Yes,Yes,Yes,No,Yes
سلام دوستان این زودپز از نظر کیفیت و جنس عالی هست واسه خریدش شک نکنید خواهشا دوستان وقتی علم چیزی ندارید و حتی وقت نمیذارید دفترچه راهنما مطالعه کنید بقیه را گمراه نکنید این فرو رفتگی که روی بدنه زودپز وجود داره باید باشه و یک خط اندازه همون فرو رفتگی روی بدنه روی دسته خود ظرف هست که وقتی شما بخواید درب زودپز ببندین این دو خط باید روبرو یکدیگر قرار بگیرن که مخاطب دچار سردرگمی نشه و سریع درب زودپرز بسته بشه,Yes,No,Yes,No,Yes
خوب بود هم از نظر قیمت و هم از لحاظ کیفیت و اینکه کالای ایرانی هست,Yes,No,No,Yes,No
یه محصول با کیفیت ایرانی تو خریدش شک نکنید بعد از خودم برای چند نفر دیگم خریدم و همگی راضین چی بیشتر می‌خوایم از یه زودپز,Yes,No,No,No,No
مامانم خیلی وقته داره و واااقعا عالیه منم از دیجی خریدم ظاهرا که خیلی خوبه و کارکردن باهاش خیلی راحت و دوستداشتنی به نظرم جزو کالاهایی هست که حتما باید ایرانیشو خرید و پول الکی بابت خارجی ندید. من مدل های خارجیشو توی شوش دیدم و اصلا نپسندیدم. راستی روی درش یه قسمت کوچک دو میل فرو رفتگی داره که ضرب خوردگی نیست و جزو طراحیشه,Yes,Yes,Yes,Yes,Yes
من این زودپز رو نزدیک ۱۳ ساله دارم و کاملا ازش راضیم. این سری هم برای مامانم خریدم. نسبت به قیمت و کیفیت به نظرم بهتر از بقیه زودپزاست.,Yes,No,No,Yes,No
درب آن ضربه داشت و فاقد واشر من نفر دهم چندم که این محصول خراب براش ارسال میشه,Yes,No,No,No,No
"من دو بار این جنس را سفارش دادم ، بار اول بخاطر ضربه کوچکی که روی درش بود مرجوع کردم ، بعد دو سه ماه دوباره سفارش دادم ، همان مورد را دوباره فرستادند !!! گویا چند نفر هم همین نظر را داشتند تا اینکه بالاخره در تصویر اشاره شد که اون خط برای تنظیم در طراحی شده ولی کاش شکل فلش داشت تا سو تفاهم نشه !! دو بار استفاده کردم ، درش لکه برداشته ، پاک نمیشه ، در نظرات قبلی این مورد را ندیدم ، لابد مثل همه اجناس ایرانی ، از کیفیتش زده اند!! بهرحال زودپزی اش خیلی خوبه عملکردش هم عالی ",Yes,Yes,Yes,No,Yes
من الان حدود 22 ساله دارم از این زود پز استفاده میکنم عالی بوده فقط چند سال یکبار لاستیک دور درش و عوض میکنم,Yes,Yes,No,No,No
ضربه خورده بود با اینکه یکی دیگه هم همینو گرفته بود مرجوع کرد بازم برای من ارسال کردن,No,No,No,No,No
من یکی عین همین تو داشتم الان ۲۰ ساله که خوب خوب کار می کنه . واقعا یک وسیله خوب برای آشپزخونه است .,Yes,Yes,No,No,No
خیلی خوب و عالی اول میخواستم هزینه بیشتر کنم و خارجی بخرم ولی الان خیلی راضی هستیم فوق العاده شیک و راحت البته فقط صدای صوت داره که به نظرم طبیعی و به اندازست,Yes,No,Yes,Yes,Yes
سلام دوستان من این محصول رو از دیجی خریدم از همه جا ارزون تره زدن از مغازه پرسیدم ۱۶۰۰ گفتن اگه این سایتا نباشه این مغازه ها مردم رو سر کیسه میکنن,No,No,No,Yes,No
این زودپز وافعا عالیه.من یک زودپز مارک بیم دارم ولی فقط بااین محصول کار میکنم.ممنون از شرکت تولیدکننده اش که همچنان کیفیتش را حفظ کرده,Yes,No,No,No,No
"من ۱۴ ساله دارمش و حداقل هفته ای دوبار استفاده شده،گاهی هم بیشتر........هنوز خدا رو شکر مثل روز اول ظاهر تمیز و براق و کارایی کامل داره.....بی نظیره!",Yes,Yes,Yes,No,No
"خیلی جالبه ، عکس بنده رو با دیگر عکسی که سال ۹۹ ارسال شده چک بفرمایید ، جنس مرجوعی اون دوست عزیز رو برای من فرستادند البته در این بین شاید برای ده ها نفر دیگه هم رفته باشه و مرجوع کرده باشند ! آخه چرا ؟؟؟ البته که جنسی که برای من ارسال شد لاستیک درب هم نداشت و مرجوع کنم حالا خدا میدونه دوباره دست کدوم بنده خدایی میره …",Yes,No,No,No,No
"من همین الان به دستم رسید، بسته بندی مرتب بود ک مشکلی نداشت، ظاهر خوبی هم داره",Yes,No,Yes,No,No
من چندین سال این دیگ زودپز رو دارم و ازش راضیم و حالا هم برای جهاز دخترم خریدم,Yes,No,No,No,No
من یه ساله دارم استفاده میکنم واقعا راضی ام اصلا آب کم نمیکنه و خیلی پر کاربرد,Yes,Yes,No,No,No
"من حدود بیست ساله دارمش،بر جهازم گرفتم.عالیه.ماشالله هیچ ایرادی نداره.ایمن و راحت فقط وقتی گازو خاموش میکنید بزارید بخارش خودش به مرور خارج بشه، سوتک خروج بخار رو فشار ندید ، یا زیر آب نگیرید که خطرناکه",Yes,Yes,No,No,Yes
زود پز پارس استیل طراحی ساده و خوبی داره با صدای کم کار می کنه آب کم نمیکنه و بو و طعم غدا تغببری نمکبنه ولی با توجه به توضیحاتی که قبل از خرید مطالعه کرده بودم داخل زود پز قسمت کف آن پس از پخت اول و بعد از شتشو لک برداشته و از بین نرفت ,Yes,Yes,Yes,No,Yes
بسته بندی عالی و عینا شبیه عکس. ۶ لیتری بزرگه و برای خانواده های پرجمعیت خوبه. ۴ لیتری کوتاهتر و البته مناسب خانواده و حجم کم غذا ... چفت شدن در و دسته ها خوب بودن,Yes,No,Yes,No,No
خوب و عالی من راضی هستم در صورت بروز مشکل میدونم همیشه لوازم جانبیش تو ایران هست با قبمت مناسب,Yes,No,No,Yes,No
بعداز شست‌وشو کف زودپز لکه های سیاه میمونه توی دفترچه راهنما نوشته از بین میره امیدوارم که بره,Yes,No,No,No,No
دفعات اول خیلی خوب و بی صدا و اصلا آب کم نمیکرد ولی از دفعات سوم و چهارم به بعد بخار و قطره های آب به بیرون نفوذ میکرد ...نسبت به قیمت نمیارزه بهتره پول بیشتری بدید و جنس خارجی با کیفیت بگیرید,Yes,Yes,No,Yes,No
"من اینوخریدم اول دودل بودم اینو بخرم یا کرکماز،ولی الان نظرم برگشت وواقعا جنسش عالیه من چندین بارباهاش غذادرست کردم حتی زوتر ازاون زمان خودش اماده میشه حتی قلمه گذاشتم بپزه تمام سرقلمهارو نرم کرده بودازلحاظ ایمنی هم خیالتون راحت سوپاپ طوری طراحی شده که بخارت اضافه روخارج میکنه نه همه بخارو مثل قدیمیها نیست جنس استیلش هم عالیه برابازکردنش هم کافیه صبر کنید تاسوپاپ به حالت اولیه برگردد،حتما ارزش خرید داره بخاطرطراحی خوب سوپاپ نگران بی اب شدن غذانباشید ",Yes,Yes,Yes,Yes,Yes
"من این کار رو با اکانت دوستم خریدم واقعا حرف نداره سرعت پخت عالی، قیمت مناسب، کاملا بی صدا، با حرارت خیلی خیلی پایین باید بزارید رو گاز که تو دفترچه اش توضیح داده که خودش مزیتی هست برای مصرف کم انرژی، اصلا هم بوی غذا نمیگیره، خودش هم بوی بد نداره، در یک کلام کم نظیر و فوق العاده",Yes,Yes,No,Yes,No
زودپز پارس استیل تا الان چند سری ازش استفاده کردم خیلی کم صدا هست زود هم میپزه بدون عیب و نقص گارانتی هم اگه فروشنده دیجیکالا باشه از زمان فاکتور خرید محاسبه می شود,Yes,Yes,No,No,No
باکمال تعجب برای بار دوم کارتونی که برام زودپزو ارسال کرده بودن از دوطرف باز شده بود دفعه قبل هم خرید کردم از دیجی کالا بازهم کارتونش مخدوش وپاره بود,Yes,No,No,No,No
