1,Quality,Battery,Performance,Price/Value,Design/Physical
همه چیزش خوبه فقط به نظرم اگه شارژدهی بهتری داشت عالی میشد,Yes,Yes,Yes,No,No
کالای استفاده شده پر از خط و خش را پلمب کردن و دوباره فرستادن ممکنه خش ها تو عکس خوب معلوم نباشه اما تو نور که میگیری چندین خش پشت دستگاه و همینطور روی برچسب نمایشگر بود بعد هم چون کالای برگشتی بوده برچسب دیجی کالا را چسبوندن روش بعد با پلاستیک حرارتی پلمب کردن که اینم نشانه ی کالای دست دوم بودن هست,Yes,No,No,No,Yes
"برند Dlink که قدیمیا همه میشناسنش نیازی به تعریفش نیست، خیلی خوشم اومد از این محصول، کار کردن باهاش و راه اندازیش واقعا راحته، وقتی به کامپیوتر وصل میکنه بدون هیچ حرف پس و پیش به عنوان مودم میشناسه و اینترنت وصل میشه، باتریش هم خوبه ولی حس میکنم اونقدری که تبلیغ شده در اون حد نگه نمیداره، ولی خوبه. اگه پورت تایپ C داشت خیلی بهتر هم میشد",Yes,Yes,Yes,No,Yes
اندازه خوب و سبک . وقتی رسید دستم خط و خشی نداشت . تنظبمات ساده . فقط چون سیم کارت میخوره ب ای اینترنت باید از طرح های اینترنت گوشی که اصلا مناسب نیستن و مقرون به صرفه هم نیستن خرید کنید .,No,No,No,No,Yes
کاش شارژر مستقل داشت نه اینکه برای شارژ به لپ تاپ وصل میکردی. آخه سه ساعت شارژش طول می‌کشه,No,Yes,No,No,No
مودم خوبه ولی برای سیم کارت مبین نت ضعیفه,Yes,No,Yes,No,No
"به محض اینکه مودم به دستم رسید و از بسته بندی باز شد فرداش زنگ زدم و درخواست تعویض دادم اما موافقت نکردن ، میخواستم یه مودم بالاتر بگیرم ولی مجبور شدم از همین استفاده کنم",Yes,No,No,No,No
من این کالا رو خرید کردم ولی کاملا مشخص بود که معیوب بود و دوباره ارسال شده هم اینکه خط و خش داشت هم اینکه شارز نمیشد,Yes,Yes,Yes,No,Yes
مودم بسیار خوب و با سرعت بالا و باطری خیلی خوب هس,Yes,Yes,Yes,No,No
کیفیت و کارایش خوبه اما باطریش یه کم ضعیفه,Yes,Yes,Yes,No,No
بر کسایی یه قسمت از خونه شون بیشتر انتن نمیده عالی سرعتش عالی کرفتم تو خونه انتن نمیداد الان یه جای مناسب گذاشتم عالی اینترنت میگیرم,No,No,Yes,No,No
من برای حدودا ۸۹ ساعت کار استفاده می کنم و هر روز می زنم شارژ شه,No,Yes,No,No,No
به نظر من پولتون و دور بریزید اما خرج این مودم نکنید انتن گوشی خیلی قوی تره تا این مودم باطریشم زیر صفر,Yes,Yes,Yes,Yes,No
خیلیا تو نظرات گفته بودن شارژ نگه نمیداره. برای من که با همون شارژ اولیه چند روزه داره کار می کنه. البته من استفاده مدام ندارم. ولی هر وقت میخوام سریع روشن میشه و گوشیم راحت کانکت میشه. تا وافا رو خاموش می کنم اونم خاموش میشه. عالیه خیلی دوستش دارن,Yes,Yes,Yes,No,No
باطری یا خود دستگاه داغون هست سه دقیقه ای خالی میشه باید مدام تو شارژ باشه,Yes,Yes,Yes,No,No
مودم سالم و خوبه و بدون هیچ کانفیگی وصل شد. تشکر,Yes,No,No,No,No
متاسفانه من ۲ تا خریدم سیم کارت دیتا ساپورت نمیکنه فقط سیم کارت معمولی خوب اینجوری که کلی پول اینترنت باید بدم خیلی مسخره اس,No,No,Yes,No,No
قابل قبول ولی کمی گران است,Yes,No,No,Yes,No
همه چیزش خوب و مناسب بود فقط مشکلش اینه بعضی وقتا یهو خاموش میشه,Yes,Yes,Yes,No,No
ابعادش خوبه و تنظیماتش هم راحت انجام میشه فقط جای سیم کارتش خیلی خیلی کوچک و اگر سیم کارت رو پانچ کنید برای وسیله دیگه ای نمیشه ازش استفاده کرد,No,No,No,No,Yes
آنتن دهی خوبه. اندازه‌ش خوبه. ولی باتری اصلا خوب نیست,No,Yes,Yes,No,Yes
من واسه پلی استیشن خریدم که بتونم انلاین بازی کنم. همیشه با همراه اول گوشیم هات اسپات میکردم هم گوشیم یهو میرفت رو ۳ جی و پینگم میرفت رو ۱۰۰۰ یا یکی زنگ میزد قطع میشدم الان که این مودمو خریدم یه سیم کارت اعتباری همراه اول انداختم توش و رو شبکه ۴ جی قفلش کردم که یهو رو ۳ جی نره. پینگم بین ۵۰ تا ۷۵ شد و لذت بازی فورتنایت و بردم.,Yes,No,Yes,No,No
باتری دستگاه ضعیف و بشدت زود خالی میکنه,Yes,Yes,No,No,No
تنظیماتش سخته بر خلاف ظاهر ساده اش من یکبار وصل شدم و خاموش کردم دوباره که اومدم وصل بشم ارور پسورد داد! حالا مجدد تنظیمش کردم و فریمور هم آپدیت کردم بصورت دستی امیدوارم دیگه به مشکل نخورم,No,No,No,No,Yes
"انتن دهی خوب ، باطری خوب ، اندازه کوچک و سبک ، اگر به مودم کانکت نباشی بعد از چند دقیقه خودکار خاموش میشود که خیلی در نگهداری باطری کمک میکند. در کل توی رنج قیمت تا ۵ میلیون بهترین گزینه هست.",Yes,Yes,Yes,Yes,Yes
سلام چرا بعد از عوض کردن رمز واسم وای فا دیگه نمیتونم به لپ تاپ وصل بشم,No,No,No,No,No
"سلام.مودم خوب و با سرعت بالایه،بعد از حدودا ۲ ساعتو نیم استفاده نشانگر باتزی روی مودم قرمز میشه ولی داخل سایت درصد باتری بالا ۵۰درصده نمیدونم مشکل از چیه..ولی فعلا تا ۸ ساعتو جواب داده",No,Yes,Yes,No,No
"خیلی آنتن دهی خوبی داره ، من کوشیم رجیستر نمیشه ولی با این مودم همه جا حتی خارج از شهر اینترنت پرسرعت دارم خیلی هم کوچیک و سبکه فقط شارژ کم نگه میداره. یک شب تا صبح شارژ میکنی ۶۷ ساعت شارژ نگه میداره برای مسافرت و اینا یکم به مشکل میخورین",No,Yes,Yes,No,Yes
"ایندیکیتور لایت باطری کار نمیکنه همون چراغ باطری بعد از چند دقیقه قرمز میشه ولی از پنل کاربری که چک میکنم اوکی هست بقیه موارد اوکی هست خدارو شکر چون سرعت و کیفیت اینترنت مهمه که قابل قبول هست برای ما، فعلن خوب شارژ نگه می‌دارد تقریبا Yes2 ساعت که نکته مهمی هست با این رنج قیمت، بدون دردسر هم Run شد،",Yes,Yes,Yes,Yes,Yes
"خیلی سبک و خوشدسته، آنتن دهی عالی، پوشش وای فای عالی، یک آپارتمان حدود 9Yes متری رو کاملا پوشش می ده، مهم تر اینکه فقط 4G نیست بلکه رو شبکه های ضعیف تر 3G و 2G هم کار می کنه که این نکته در مسافرت و جاهایی که آنتن ضعیفه خیلی مهمه که قطع نمیشه برعکس خیلی از مودم ها که فقط تو شبکه 4G کار می کنند، باتری هم اندازه و حجم خیلی خوبی داره، یک نکته دیگه اینکه وقتی هیچ دستگاهی بهش وصل نباشه بعد از چند دقیقه خودش اتومات خاموش میشه.",Yes,Yes,Yes,No,Yes
بیشتر از یک ماه هستش که خریدیم برای یکی از شهرستان های اطراف قزوین که حتی خط تلفن هم نداره و آنتن ضعیف هستش استفاده کردم هر هفته استفاده کردیم هم سرعت خوبی داره هم آنتن دهی خوبی داره سبک و زیبا هم هستش,Yes,No,Yes,No,Yes
برای مسافرت یا اقامت در جاهایی که سیمکارت آنتن نمیده عالیه! یک سیم کارتی که آنتن میده در اون منطقه رو استفاده میکنید و کاملاً جواب میده 2 ساعت شارژ میکنش و یکی دو روز کامل کار میکنه پیامک هم دریافت میکنه و چیز خیلی خوبیه انصافاً,Yes,Yes,Yes,No,No
من برای شاتل موبایل خودم گرفتم و به نظرم برای یک مودم جیبی خوب هستش درسته به کیفیت مارک های دیگر نیست ولی در خد قیمتش خیلی کار راه اندازه,Yes,No,Yes,Yes,No
به موقع و سالم دستم رسید هیچ مشکلی هم نداشت و واقعا راضیم ازش فوق العاده کارراه اندازه در ضمن بعضی از دوستان گفتن روقسمت چراغ هاش پره خط و خوشه شاید متوجه برچسب روش نشدن اگر برچسب و در بیارن تمیز و زیبا میشه سپاس از فروشنده محترم آخرین دونه موجودی و خریدم ۲ روز بعد دیدم ۱/۲۰۰ به قیمت اضافه شده متاسفانه,Yes,No,Yes,Yes,Yes
عالی از هر نظر هم از نظر باتری هم آنتن دهی هم از نظر کیفیت,Yes,Yes,Yes,No,No
"واقعا پیشنهاد میکنم بخرید. من خودم خیلی روی خرید وسواس دارم.بعد از چند روز تحقیق،باشک و تردید این مودم رو خریدم،گفتم فوقش خوب نیست مرجوعش میکنم.به دستم که رسید استفاده کردم و دارم لذتشو میبرم",Yes,No,Yes,No,No
خوبه فقط به نسبت پولی که می دیم کاش کیفیت بهتری داشت و درب پشتش هم کمی سفت بود,Yes,No,No,Yes,Yes
قابل قبول سرعتش مناسب و بهتر از اینترنت دیتا,No,No,Yes,No,No
"بسته بندی عالی ، تحویل زودتر از موعد",No,No,No,No,No
واقعا پر سرعت عالی من راضی ام شارژ دهی خیلی خوبه انتن دهی عالی,Yes,Yes,Yes,No,No
تازه امروز خریدم و فعلا راضی هستم ازش من برای جلوگیری از hotspot کردن گوشی به لپ تاپم خریدم,No,No,Yes,No,No
"دستگاه خوب و کارآمدی است. بازدهی مناسبی داره و میتونید حتی تو جیب بذارید. شارژدهی اش هم مطلوبه اما با همین حدود قیمت محصولات بهتری هم هستن که کاربرهای بیشتری بتونن بهش متصل بشن، علت اینکه این رو سفارش دادم این بود که کارم فوری بود و زودتر از همه به دستم میرسید.",Yes,Yes,Yes,Yes,Yes
"دوستان من تقریبا یک هفته ای هست این مودم رو خریدم قبلا یه مدل دیگه از دی لینک داشتم ، خیلی عالی بود این مودم هم فوق العاده س ، باطری فوق العاده ای داره ، همین الان که براتون پیام میزارم ، ۱۸ ساعت هست روشنه ، و هنوزم ۳۳ درصد باطری باقی مونده...در اخر هم بگم ، همیشه از برند شناخته شده خریداری کنین ، این مودم هم بسیار نسبت به قیمتش ارزش خرید داره...موفق باشید",Yes,Yes,Yes,Yes,No
بنظر من خودم عالی هست بهتر تا گوشی نت دارید و سرعتش بالاتر فقط یکم باتری ضعیف می‌تونست بهتر باشه,Yes,Yes,Yes,No,No
خیلی عالی هست. تا ۲۰ ساعت پیوسته شارژ نگه میداره و اینکه در عرض یکساعت شارژ میشه,Yes,Yes,Yes,No,No
