1,Phone Quality,Price and Value,Phone Hardware,Phone Performance,Packaging and Delivery
من این گوشی رو در اردیبهشت ۱۴۰۳ به مبلغ ۱۷۱۹۹۰۰۰ تومن خریداری کردم . کیفیت بسته بندی و ارسال عالی بود . کیفیت گوشی در حد یک پرچمدار هست و چیزی کم نداره ازش . باتری رو من نگران بودم که خوب جواب نده اما در استفاده معمولی که من دارم و مدام هم البته در وب و تلگرام و اینستا و ایتا هستم باتری یک روز کامل رو جوابه ضمنا یه شارژر اصلی ۲۵ وات هم براش سفارش دادم که سوپر فست شارژ (شارژ فوقع سریع) شارز میکنه و یک ساعته فول میشه .,Yes,Yes,No,No,Yes
نکته عجیب که در گوشیهای سامسونگ وجود داره نور صفحه نمایش زیر نور خورشید که انقدر روشنه انگار تو خونه داری با گوشی کار میکنی مثلا نور صفحه این گوشی YesYesYesYes نیت مال x6 پرو یا نوت Yes3 پرو فایوجی Yes8YesYes حالا برید تست نور صفحه نمایش هر دو رو تو یوتیوب ببینید شدت نور سامسونگ شگفت انگیز,No,No,Yes,No,No
یک هفتس خریدم اونجور که میگن و تبلیغش میکنن زیاد جالب نیست.شارژش زود خالی میشه انتن دهیشم ضعیفه با این قیمت حداقل شارژر وات بالاتر پشتیبانی میکرد بهتر بود نخای یه ساعت و نیم منتظر باشی شارژ شه.در کل دوربین جلوش و سلفی و صفحه نمایشش عالیه ولی پشیمون شدم از خریدش پوکو ایکس ۶پرو بهتره از این حداقل شارژرش قوی تره یه تومنم ارزونتره من که پشیمون شدم چون بیشتر پول برندشو میدید و اینم بگم صفحش کوچیکه و حاشیه خیلی داره ولی یکی از نکات قوتش کیفیت ساخت و خوش دستیشه ,Yes,Yes,Yes,No,No
ا پنجاه چهار بلوغ سری aبود.فقط دیگه هر سال یه تیکه از بدنش ارتقا میدن با قیمت بیشتر....نمونش a55,No,Yes,Yes,No,No
"گوشی خوبی هست من یک مشکلی در ضبط صدا توسط گوشی داشتم، بردم گارانتی سی تلکام و از خدماتشون راضی بودم، گفتن اشکالش نرم افزاری هست و برام درستش کردن.",Yes,No,No,No,No
اولین تجربه خریدم از دیجی کالا بود راضی بودم خدا قوت به همه عوامل و پرسنل دیجی کالا,No,No,No,No,No
گوشی بسیار خوب و روان و با سرعت بالای رم و امکانات خوب و کلا خوش دست تنها ایراد و عیبش بنظرم وزن زیاد دستگاه هست که نسبت به مزایایی که داره قابل چشم پوشی هست,Yes,No,Yes,Yes,No
دوربین سلفیش فقط نزدیکترین فرد رو خوب نشون میده و افرادی که عقب‌تر هستن مات میشن . داغ میکنه و باتریش به نسبت گوشی شیائومی زودتر خالی میشه من از باتریش راضی نبودم. سرعتش خوبه هنگ نمیکنه دوربین پشت با کیفیته. حجم مناسبی هم داره. امکان استفاده از هر دو سیم کارت رو داره. با توجه به ایراداتی که گفتم در بین گوشی های میان رده مناسبه,Yes,No,Yes,Yes,No
"من حدودا ۴ ماهه که این گوشی رو خریدم میشه گفت تو این رنج قیمت فوق العادست از لحاظ دوربین عالیه و کیفیت خیلی بالایی داره و کاملا راضی کنندست به نسبت سری های قبل از لحاظ ظاهری خیلی تفاوت ها داره مثل دوربین برجسته و درکل بزرگ تره و مثل سری های قبل نازک نیست اما با این حال بسیار خوش دسته،خیلی خیلی روونه و برای یه گوشی میانرده با این قیمت عالیه.",Yes,Yes,Yes,Yes,No
درسته که یه گوشی میان رده ایی هست ولی من از لحاظ سخت افزاری و کارکردی رقیب آیفن Yes4 میبینم .,No,No,Yes,Yes,No
من یکماه هست گوشی رو از بازار خرید کردم میشه گفت تو میان ردها یکی از بهترین هاست مناسب همه بخصوص کسانی که بچه کوچک دارن هم مقاوم دربرابر اب هم مقاوم در مقابل ضربه سخت افزار خوبی داره دوربینش هم قابل قبوله مناسب برای بازی تقریبا هم تراز با گوشی ردمی نوت۱۳ پرو پلاس,Yes,No,Yes,Yes,No
نمیدونم این مشکل رو فقط من دارم یا گوشی بقیه هم همینه ولی رنگ پوست رو تو پردازش عکس زرد میکنه و تو تنظیماتش هم گزینه ای برای تغییرش نیست و با وجود کیفیت خوب دوربین پردازش رنگش افتضاحه و نمیدونم باید چیکار کرد. باتریش هم به نسبت قیمتش اونقدرا قوی نیست. بجز این همه چیزهای دیگش خوبه.,Yes,Yes,No,No,No
قیمت خوبی داشت و کیفیت گوشی هم عالیه و تو این رنج قیمت واقعا مناسب تر پیدا نمیشه,Yes,Yes,No,No,No
حدودا یکساله استفاده میکنم بدون کوچکترین مشکلی بسیار راضی کننده هست این گوشی بخرید و لذت ببرید,Yes,No,No,No,No
"نسبت به قیمتی که داره نمی ارزه شاید اگر دوباره بخوام بگیرم یه مدل پایین تر میخرم چون تفاوت قیمتش خیلی زیاده شاید، شاید کارکردش یه مقدار از این کمتر باشه",No,Yes,No,Yes,No
بسته بندی فوق العاده از دیجی کالا ارسال سریع رنگ بنفشش خیلی قشنگ بود امکانات گوشی به نسبت قیمت عالیه فقط حاشیه صفحه نمایشگر یکم تو ذوق میزنه,No,Yes,Yes,No,Yes
برای استفاده روزمره گوشی خوبیه منتها برای بازی باید تو دمای پایین گوشیو نگه دارین چون داغ میکنه لگ داره و لمسش اذیت میکنه دوربین عقبش عالیه مخصوصا پرتره ولی دوربین معمولی اگه جزئیات زیادی منظرتون داشته باشه دل میزنه ولی دوربین جلو معمولی شارژر اورج بگیرین تو یک ساعت پر میشه ولی درجه ۲تو یکو نیم ساعت خیلی خوش دسته ولی ایکاش حاشیه های صفحه کموتر بود,Yes,No,Yes,Yes,No
بنده گوشی a52s داشتم که نسبت به این گوشی از نظر پردازنده و دوربین پشت و صفحه نمایش بهتر و قیمت به صرفه تر بود ولیکن این گوشی دوربین سلفی بهتری دارد,No,Yes,Yes,Yes,No
سلام تشکر از دیجی کالا بابت تحویل به موقع و سریع کالا کاملا سالم و درست تحویل داده شد,No,No,No,No,Yes
گوشی میان رده ی خوبیه دوربینش بد نیس نگهداری باطریش خیلی خوب بود من برای انجام کارای روزمرم گرفتم کارم را بیفته در کل خوب بود,No,No,No,Yes,No
پشیمانم از خرید گوشی به عنوان یک شخصی که عاشق سامسونگ بودم ناراضی هستم تو این پانزده روزی که خریداری کردم و قصد فروش دارم,Yes,No,No,No,No
من به عنوان سامسونگ باز با این قیمت و این مشخصاتی که عنوان کردن کاملا ناراضی هستم,No,Yes,No,No,No
سلام من از نمایندگی خریدم گوشی خوب و عالی باطیشم خوبه البته یکمی زود خالی میشه اما خوبه صداش خوبه تصویرش هم خوبه اما دوربین جلو اصلا کیفیت نداره و تصویر دوربین عقب بدک نیست ولی عالی هم نیست موفق باشید,Yes,No,Yes,No,No
"گوشی خوبیه و به نسبت پولی که میدین ارزش خرید داره، فقط اینکه قیمت دیجی کالا حدودا ۷۰۰ هزار تومن نسبت به سایت‌های دیگه گرونتر بود که واقعا جای تاسف هست ، به جای احترام به مشتری و تلاش در جهت کسب رضایت مشتری، باعث نارضایتی اون میشن.",Yes,Yes,No,No,No
من گوشی a5Yes داشتم و اینو خریدم همزمان هر دو رو استفاده میکنم سرعتشون هیچ فرقی با هم نداره همون روز اول از بعضی برنامه ها میندازتت بیرون این اتفاق با a5Yes بعد یکی دو سال برام افتاد اسکرول کردنش تو چت ها خیلی آهسته هست یه طوریه حس میکنی تاچ مشکل داره ولی داخل تنظیمات اسکرول اکیه در کل تفاوتش با a5Yes بنظرم فقط دوربین بو,Yes,No,Yes,Yes,No
"با سلام گوشی A54 عالیه در خریدش شک نکنین و بهتر از A55 است ،گوشی میخوای فقط A54 بخرید لذت ببرید",Yes,No,No,No,No
سلام من این گوشی یه هفته هست از خود دیجی کالا خریدم ممنون بسته صحیح و سلامت به دستم رسید من این گوشی رو فقط بخاطر اینکه شبیهs23Feهست خریدم به خدا وای خیلی گوشی خوبیه,Yes,No,No,No,No
بعنوان بهترین میان رده سامسونگ و برندهای موجود در ایران خیلی خوبه ولی باگ داره اندرویدش هنوز,Yes,No,No,Yes,No
واقعا اونجوری ک تعریف میکردن نبودن ۷ ماه دارم استفاده میکنم گوشی به شدت داغ میکنه و وقتی دارید ویس میگیرید بعد ۱۰ دقیقه که ویس گرفتید می‌بیند صداتونو ضبط نمی‌شده و خیلی آزار دهندس این قضیه باتریشم اونجور ک میگفتن تعریفی نبود فقط میتونیم بگیم دوربین خوبی داره,Yes,No,Yes,Yes,No
من دیگه چیزی در مورد گوشی نمی‌گم چون خیلی نقد و بررسی هست تو اینترنت میتونین ببینید فقط اینو بگم الکی Yes7Yes8 تومن پول ندید بابت نسخه ۲۵۶ من نسخه ۱۲۸ گرفتم با یه کارت حافظه ۲۵۶ خیلی بصرفه تر در اومد همون کارایی هم داره نظر من این بود امیدوارم مفید واقع بشه,No,Yes,Yes,Yes,No
"من ۴ ماه هست که این گوشی رو از مغازه خریدم. رنگ سفیدش نسبت به بقیه رنگهاش یک سر و گردن جذاب تره. در کل راضی هستم از انتخابم. البته میتونستم با این قیمت، از برند های دیگ خرید کنم که کیفیت دوربین بهتری شاید دارند. اما برام مهم بود که حتما از برند سامسونگ بخرم چون دیگ خودشو ثابت کرده. من گوشی رو بهمن ۱۴۰۲ به قیمت ۱۶ خریدم و با شارژر و قاب و گلس شده بود ۱۷",Yes,Yes,No,No,No
"گوشی خوبیه،کیفیت دوربین و صفحه نمایش خوبی داره به عنوان یه گوشی میان رده عالیه،از خریدم راضیم،رنگ لیمویی گرفتم خیلی زیباست یک روزه هم بدستم رسید",Yes,No,Yes,No,Yes
بشدت ناراضی هستم. من رنگ سفید انتخاب کردم ‌‌ و بعد از یک هفته رنگ مشکی به دستم رسید,No,No,No,No,Yes
من چند ۴ ماه هست که گوشیم رد دارم خیلی راضی بودم . بعضیا میگن پوکه X6پرو بهتره ولی تنها خوبیش نسبت به A54 اینترنت 5G توی ایران هستش . رنگ زرد لیمویی اش خیلی خوشگله در کل گوشیه خوبیه ولی دستیار صوتی اش (بیکس بی) یه کم قدیمیه,Yes,No,No,No,No
من نزدیک به ۱۵ ساله سامسونک استفاده می کنم الان راضی نیستم دوربین جلوش بسیار بی کیفیت,Yes,No,No,No,No
خیلی عالی و سرعت کارکردش هم خوبه من ۴ ماه دارم استفاده میکنم و باتریش هم تقریبا با کارکرد اینترنت و فیلم دیدن ۲ روز دوام میاره تنها مشکلی که من باهاش دارم سنگین بودن و بزرگ بودن صفحه نمایش به نظرم گوشی کوچیک و سبک تر خوش دست تره. قاب پشتش چون شیشه اس خیلی جلوه خوبی داره,Yes,No,Yes,Yes,No
"من این نظر رو بعد از ۳ ماه استفاده دارم میگم به نظر من بهترین گوشی هستش که میتونی توی این بازه قیمتی بخری ، صفحه نمایش بسیار بسیار باکیفیت دوربین بسیار عالی و نگه داشتن باتری بسیار عالی حدود یک روز و نیم شارژر ۲۵ واتی که گوشی رو ۲۰ تا ۸۰ توی ۱ ساعت تقریبا شارژ میکنه و خیلی نکات مثبت دیگه ای داره و خیلی عالی واقعا نکات منفی نداره اصلا به نظرم",Yes,Yes,Yes,No,No
"من از فروشنده دیجی کالا خریدم. بسیار راضی هستم آکبند آکبند بود. راحت به قیمت باز درب منزل تحویل گرفتم. اولش می‌ترسیم ،شک داشتم اما دلو زدم به دریا سفارش دادم برام آورد کاملا وکیوم. پک بسته بندی دیجی کالا خیلی خوب حتما توصیه میکنم گوشی خوبیه. تمام حداقل ها را داره حتی چه بسیار بالاتر. از دیجی کالا خیلی راضیم. نگاهمو به خودش تغییر داد",Yes,Yes,No,No,Yes
اولین بار بود که از دیجی گوشی خریدم ولی همه چی عالی بود. بسته بندی مناسب و گوشی پلمپ بود. کیفیت گوشی هم عالی و سریع کارای رجیسترش انجام دادم. خیلی با کیفیته هم دوربین هم سرعتش هم کیفیت صفحه نمایش. کاملا راضیم,Yes,No,No,Yes,Yes
"گوشی خیلی خوشت دستیه و راحته ، اما وقتی باهاش زیاد کار کنی حس میکنم داغ میکنه ،چن باری اینجوری شده ک داغ کرده .",Yes,No,Yes,Yes,No
کلآ به عنوان میان رده گوشی خوبیه و سخت افزار و دوربینش خوبه ولی با طراحی شبیه گرند و حاشیه حدود ۲ تا ۳ میلیمتر پسرفت کرده اصلآ خوش دست نیست و از خریدم پشیمان شدم حتی aYes5 که ۵ تومن پولشه از این کم حاشیه ترو خوشگلتره,Yes,Yes,Yes,Yes,No
"اگر مدت زمان ارسال کاهش پیدا کنه خوبه ، ارسال فوری به شهرستان ها و مراکز استانها",No,No,No,No,Yes
کاملا پلمپ بود و هیچ مشکلی نداشت از همه نظر راضی بودم تنها مشکل ک خرید حضوری هم داره نبود شارژره,No,No,No,No,Yes
خیلی گوشی قشنگیه ولی بابام نمیزاره بازش کنم میگه باید معدل کارنامه بالا ۱۸ شه میزارن باز کنی,No,No,No,No,No
"گوشی میان رده خوبیه ، بسته بندی خوب نبود فقط توی یه کارتن ساده بدون محافظ فرستادن.",Yes,No,No,No,Yes
مهم ترین گزینه به نظرم اندازه گوشی و سایز صفحه هست که نسبت به گوشی های جدید که همه بزرگ هستند واقعا سایز عالی و جمع و جورتری داره . ولی کیفیت تصویر وحشتناک بالاست,Yes,No,No,No,No
گوشی نو و اکبند بود فقط تو تحویلش خیلی اذیت شدم حدود یک هفته بعد اومد,No,No,No,No,Yes
همه چیز این موبایل با این قیمت عالیه. من خودم قرار بود اس ۲۲ fe بگیرم ولی وقتی این گوشی رو دیدم تصمیم گرفتم اینو بگیرم چون علاوه بر حافظه ۲۵۶ خودش میتونم اس دی مموری هم بهش اضافه کنم. فقط تنها چیزی که توی ذوقم خورد این بود که بر خلاف گوشی های سری A این گوشی برای هر دو سیم کارت و مموری از یه خشاب بهره میگیره و وقتی مموری میزاری دیگه نمیتونی دوتا سیم رو استفاده کنی. البته من چون دوتا گوشی دارم مشکلی نداشتم ولی لازم دونستم اینو بگم.,No,Yes,Yes,No,No
گوشی سامسونگa54 عالی از فروشنده ودیجی کالا تشکر میکنم گوشی پلمپ شده و سفارش به موقع به دستم رسید.,Yes,No,No,No,Yes
من از بیرون رنگ مشکی ۲۵۶ گیگ این گوشی تهیه کردم فقط فقط برای بازی کال آف و آسفالت ۹.. خداوکیلی تو این چند وقت اصلا مشکلی نداشته و من راضی هستم از خریدم,Yes,No,Yes,Yes,No
من این گوشی رو از بیرون تهیه کردم کاش کامنت ها رو با دقت بیشتری می خوندم واقعا باطریش ضعیفه یعنی برای یک فرد شاغل بیرون از خونه باید به فکر کابل و پاوربانک باشه انتن دهیش هم خوب نیست من گوشی قبلیم A3Yess بود ولی اصلا انتن و باطری قابل مقایسه نیست . البته من بودجم برای خرید گوشی به همین مدل می رسید و بعضی از نظرات خیلی هیجانی مثبت هست نه کارآمدی,No,Yes,Yes,Yes,No
با ویدئوها و راهنمایی های دیجی کالا خریدم . و همینطور خواندن نظرات کاربران . ارزان تز از بازار دستم رسید . متشکرم,No,Yes,No,No,No
س این گوشی با صرف هزینه زیاد شارژ باتری آن زود تمام می شود و آنتن دهی آن افتضاح است . متاسسسسسفم,No,Yes,Yes,Yes,No
کالا مطابق مشخصات و به موقع به دستم رسید از دیجی کالا ممنونم که تجربه خریدی بی دغدغه رو فراهم میکنه,No,No,No,No,Yes
بسته بندی مورد تایید بود ‌. گوشی هم باتوجه به مشخصاتش خوب بود چیزی کم نداشت .,No,No,No,No,Yes
در کل گوشی خوبی برای بازی است از Poco P5 برای بازی بهتر است من قبلا ایفون یازده داشتم ولی این بهتر است,No,No,No,Yes,No
"من این گوشیو ۱۰ فروردین حریدم ، امروز که پست تحویلم داد ۲۶ فروردین، واقعا دیر ارسال کردن",No,No,No,No,Yes
نقد من راجب محصول نیست .راجب عملکرد دیجی کالا هست که بسیار ضعیف شده است در هر بار خرید یک تاریخ مشخص میکنه اما در زمان موعد تحویل بدلایل واهی چند روز ارسال را عقب میندازه,No,No,No,No,Yes
به نسبت قیمت گوشی خوبیه بنظرم میتونست دوربینش با کیفیت تر باشه چون الان با این قیمت شیائومی دوربین صد مگا پیکسل داره ارائه میده,Yes,Yes,Yes,No,No
گوشی خوبیه از هر نظر فقط وقی میزنم ب شارژ تاچ قاطی میکنه در حالت شارژ شدن نمیشه باهاش کار کرد نمیدونم برا بقیه ام همینه یا نه .کیفیت صفحه نمایش عالیه باطری ۱روز کامل و جواب میده اگه زیاد کار نکنی که ۲روز میشه من قبلا هوآوی داشتم ولی خدایی سامسونگ یه چیز دیگس دوربینش در حد خوبه ولی خیلی عالی نیست خوش دسه .,Yes,No,Yes,Yes,No
من حدود ۴ ماه استفاده میکنم خیلی هم عالیه یکی از بهترینهاست از هر لحاظ عالیه . باری آسفالت ۹ رو نصب کرده ام بدون لگ کار میکنه . دوربین هم خوبه و کیفیت خوبی داره و امکانات خوبی داره اگر از گوشی سر دربیارید .,Yes,No,Yes,Yes,No
درمقایسه با گوشی قبلم که ردمی نوت ۸ بود: این گوشی وزن بیشتری داره . دوربین ها ناامیدتون نمی‌کنند و میتونید با اطمینان باهاشون عکس بگیرید و حتی شاید تولید محتوا کنید .کار سنگین باهاش نکردم و تاحالا لگ و هنگی ازش ندیدم .در استفاده‌ی روزانه و حدود ۱۰ ساعت متوالی کارکردن باهاش باتری کم نمیاره و حدود یک روز یاری میکنه.درمقایسه با گوشی قبلم صفحه نمایش خیلی بهتر هست و راضی کننده اس .اندازه ی صفحه تز ردمی ۸ و ایفون ۱۳ بزرگتر است .,No,No,Yes,Yes,No
گوشی خوبیه و بدون هیچ مشکلی رجیستر شد و نسخه اندروید هم به سرعت بروز شد و ورژن ۱۴ رو دریافت کرد.فقط یه خورده وزنش زیاده که فکر نکنم زیاد مشکلی باشه.با تشکر از دیجیکالا,No,No,No,No,No
"گوشی قبلی من شیامی mi 9 lite بود و راضی بودم. ۲ روز قبل از عید a54 گرفتم ولی همون ساعت اول دلم را زد و گوشی NoteYes3pro 5g گرفتم. الان هم راضی هستم. سامسونگ قشنگ بود، صفحه شفافی داشت ولی روشناییش نسبت به NotYes3 pro کمتر بود، شبیه پرچمدار بود. نسبت به شیامی بیشتر داغ میکرد. داخل جعبه هم هیچی نداره ولی شیامی جدیدا گلس صفحه هم داره. با اینکه صفحه شیامی نسبت به سامسونگ بزرگتره ولی خوش‌دست تره به نظر من کسی که قبلا شیامی داشته بهتره که نره سراغ سامسونگ.",No,No,Yes,Yes,No
به نظرم خوب میاد هنوز ازش استفاده نکردم با توجه به نظر مشتری های دی جی خریدم,No,No,No,No,No
الان a35 اومده با همین مشخصات و تازه بهتره از این و یکسال جدید تر هم هست این با این قیمت ارزش خرید ندارد تو سامسونگ ها و در کل هم که الان با این قیمت میشه یه x6 pro خرید,No,Yes,Yes,No,No
موقعی که تو شارژ باهاش کار میکنی لمس گوشی به شدت ضعیف میشه باتری نسبت به هم قیمت‌هاش در برند شیائومی ضعیفه پیام بلند ارسال نمیشه هنگ میکنه و در حالت هنگ گوشی خاموش میشه,Yes,Yes,Yes,Yes,No
کلا دیجی کالا سر وقت سفارشات را میرساند من هر وسیله دیجیتالی که خریدم راضی بودم,No,No,No,No,Yes
"بسیار عالیه،از همه نظر خوبه،گوشی پلمپ بوده و ویتنام یک روزه به دستم رسید ممنون از دیجیکالا",No,No,No,No,Yes
پنج روزه گوشی سامسونگ a54 رو تحویل گرفتم رجیستر نمیشه متاسفانه دیجی کالا و گارانتی هم پاسخگو نیست.,No,No,No,No,Yes
"سالم و با بسته بندی مناسب، ولی بطور کلی خرید کالای الکترونیکی و دیجیتال از ریسک بالای برخوردار است.",No,No,No,No,Yes
بازار واقعا خرابه بجای اینکه a55 اومده ارزون تر بشه این گوشی داره گرونتر هم میشه اگه میخواین بخرین معطل نکنید اینجا ایرانه یهو پا میشی میبینی دلار شد ۷۰ ۸۰ تومن گوشیم رف فضا,No,Yes,No,No,No
"واقعا منطق دوستانی که اینقدر سنگ سامسونگ رو به سینه میزنن نمیفهمم ، الان این مدل نه رزولیشین در حد گوشی هفده تومنی داره نه مثل همه سامسونگ ها شارژر قوی ای داره و نه سی پی یوی آنچنان خوبی . ارزش خریدش بشدت پایینه . حالا برو با همین قیمت مشخصات گوشی ردمی نوت Yes3 پرو 5G رو ببین از همه نظر بهتر از اینه",No,Yes,Yes,Yes,No
"کارای خیلی خوب ، تاچ و صورت فوق‌العاده عالی و با این مبلغ حتی از s۲۳ هم بهتر هستش",No,Yes,No,Yes,No
"گوشی که مورد انتظار بود، خداروشکر؛ فقط امیدوارم شرکت گارانتی کننده کد فعالسازی رو روی کارتن محصول قرار بده که این کار رو سریع انجام بدیم... روز عید بود و تماس رو پاسخگو نبودند. سایت شون کد ورود نمیداد. بعد از یک روز تونستم فعالسازی کنم.",No,No,No,No,Yes
گوشی خوبیه در کل اما گله دارم از دیجیکالا که بسته منو ۷ روز بعد از انتخاب بازه زمانی ارسال کرد . هنگام تحویل هم پلمپ کارتن دیجیکالا اش باز شده بود ولی خود کارتن گوشی سالم بود.,No,No,No,No,Yes
"گوشی خوبیه ، فقط یه نصیحت به تمامی دوستانی که گوششی رو میخرن برای پشت گوشی گلس بچسبونن چون پشت گوشی شیشه ای هستش اگه کاورتون جنسش خوب نباشه نقطه نقطه سفید میشه پشتش.",No,No,No,No,No
بنظر شما الان A35 بخرم یا A54 وقتی هردو از نظر سخت افزار کاملا یکسان هستن,No,No,Yes,Yes,No
با سلام اصلا خوب نیست داغ میکنه باتری بی کیفیت,Yes,No,Yes,Yes,No
"سلام وقت بخیر

Galaxy S2Yes FE مشخصات بهتری داره، از نظر سخت‌افزار و دوربین عملکردش نسبتا بهتره.",No,No,Yes,Yes,No
برای من بعد از ۳ ماه شدیداااا داغ می‌کنه لعنتی... صورتم موقع صحبت می‌سوزه,Yes,No,Yes,Yes,No
عالیه فقط وقتی ۲ تا سیم کارت میندازی رم دیگه نمیخوره من از تهران حضوری خریدم,Yes,No,No,No,No
گوشی با شارژر امروز بدستم رسید ممنون از تکنولایف بخاطر اصل بودن کالا..عالی,Yes,No,No,No,Yes
"سلام وقت بخیراز نظر کیفیت دوربین، فست شارژ باتری و سخت‌افزار (با توجه حافظه رم بیشتر) Realme YesYes Pro Plus عملکرد بهتری داره.",Yes,No,Yes,Yes,No
سلام من اولین باره که از این سایت خرید کردم و خوشحالم که تجربه یه خرید عالی از هر نظر رو داشتم دوست دارم بقیه رو هم با این سایت آشنا کنم ممنونم از پشتیبانی عالی و حرفه ایتون,No,No,No,No,No
گوشی خیلی خوبیه من راضی ام بازی های سنگین مثل کال‌آف‌دیوتی رو هم بدون لگ جواب میده,No,No,Yes,Yes,No
واقعا عالی. هم به موقع به دستم رسید هم بسته بندی درجه Yes بود هم اینکه گوشی پلمپ بود. ممنونم از تیم خیلی خوب تکنو لایف,No,No,No,No,Yes
از نظر کیفیت گوشی خیالم راحته. بار ها شده که یک مدل گوشی را از فروشگاه بیرون خریدم و کیفیت مد نظرم را نداشته. ولی از تکنو لایف مطمین هستم.,Yes,No,No,No,No
کاش یه گوشی بهتری میخریدم نسبت به قیمت خوبه اما با توجه به اینکه کار من کلا با گوشیه کافی نیست برای کار کردن در تمام روز باتری خوب نگه میداره روشنایی صفحه خوبه کاش یه گوشی میخریدم که قلم داشته باشه,No,Yes,No,No,No
الان من یه هفته است خریدم چرا اصلا باتری نگه نمیداره هرروز میخوادشارژکنم وبه شدت باتری تموم میشه,No,No,Yes,No,No
خیلی ناراضیم آخرین بار بود کلا سامسونگ خریدم با پولی که برای این دادم میتونستم یه شیائومی خوب بگیرم,No,Yes,No,No,No
"با قیمت فعلی اصلا ارزش خرید نداره ،تو این بازه قیمتی s2Yes fe انتخاب خیلی بهتریه",No,Yes,No,No,No
