1,Price,Quality,Installation,Cooling,Size
قیمت خوبی داشت تو شگفت انگیز ۲۵ گرفتم ۵۸۰ هزینه ارسال به شهرستان دادم وقتی تحویل گرفتیم نصاب یک ساعت بعد اومد نصب کرد همه چیز اوکی بود,Yes,No,Yes,No,No
"برای خانواده ۳ نفره کاملا مناسبه ، طبقه بندی هاش شیشه ایه + قسمت یخچال فقط یک کشو داره + آبسرد کن باکسی داره برای پر کردن آب اگر دائم استفاده کنید خوبه وگرنه آب بو میگیره + یخسار هم باکسی داره در فریزر که تئوری برداشتن یخ با چرخش محورش عملا کارایی نداره و بهتره قالب یخ جدا قرار بدهید ... در مجموع یخچال فریزر با کیفیت و کم صدایی است با خدمات پس از فروش خوب",No,Yes,No,Yes,Yes
استفاده نکردم اما به نظر یخچال خوبی هست گروه صنعتی مادیران تولید میکنه و اگه توی شگفت انگیز بخیرین قیمت خوبی داره,Yes,Yes,No,No,No
یخچال خوبیه فقط بعد از پرداخت هزینه ارسال مجددا مامور دیجی کلا از بنده تقاضای وجه کرد و گرنه کالا با تا خیر بیشتر بدستت میرسه,No,Yes,No,No,No
"باید توجه داشته باشید که وقتی میگویم عالی منظور بنده، خرید با قیمت پایین تر در شگفت انگیز است که نسبت به قیمت پرت و بیهوده بالای اجناس در کشور عالی است، وگرنه هر کالایی کیفیت برند خود را دارد و نه بیشتر و همه به تفاوت کیفیت برندها واقفیم",Yes,Yes,No,No,No
این یخچال با این قیمت عالیه تازه با گارانتی معتبر شرکت ایکس ویژن که خیلی هم در خدمات دهی عالی عمل میکنن,Yes,Yes,No,No,No
عزیزان توجه کنند که همه یخچال فریزر های ساید قسمت پشت یخچال باید یه شبکه و فن خنک کننده داشته باشه . مال ما نداشت و دو تا لوله خم کرده بودن و خبری از فن خنک کننده نبود .,No,Yes,No,Yes,No
"یخچال فریزر با تاخیر به دستم رسید خداروشکر مشکل ظاهری نداشت چون خیلی استرس داشتم که باتخفیف خریدم مشکل داشته باشه ظاهرش سالم بود ولی مثل اینکه طبق نظر دوستمون فن خنک کننده نداره نمایندگی بمن گفت که طراحی ایکس ویژن و تی سی ال به این صورت هست ،یه نکته منفی دیگر اینکه ارتفاع یخچال کمتراز ۱۷۷ میباشد,,, عمق ۶۲ وارتفاع از درب تا پایه یخچال ۱۷۴ میباشد وبدون پایه ۱۷۰ سانت میباشد.",No,No,No,Yes,Yes
من تو شگفت انگیز خریدم عالی بود قیمتش تاریخ ۲۳ اسفند تحویل گرفتیم سر موقع اوردن مامور تحویل تا طبقه سوم اوردن تحویل دادن پلمپ و بدون ایراو بود نمایندگی هم ۲۴ اومد برا نصب خیلی سریع کلا شیک و قشنگه برا خانواده ۳ ۴ نفره خوبه فقط تنها ایرادش بنظرم جنس ضعیف طبقاته اما با این قیمت عالیه قراره یه تومن نقدی هم هدیه پرداخت کنن اگه پرداخت شد اطلاع میدم‌ 👍,Yes,Yes,Yes,No,Yes
"قفسه های شیشه‌ای رو در یخچال نبود به نصابی که از طرف مادیران اومده بود گفتم و به مادیران نیز زنگ زدم و آنها پس از اینکه مطمئن شدند نداشت زنگ زدند وگفتند ما میفرستیم ، مامور ارسال فقط تا دم در خونه آورد ومیگفت کمردرد داره نمیتونه بیاره تو ،من دیسک کمر گرفتم تا بردم داخل",No,No,Yes,No,No
باربری اذیت کرد گفتم اون تایم خونه نیستم با این حال یخچال رو آورده بود و چون نیم ساعت معطل شد هزینه اضافه گرفت در مورد یخچال نمایندگی خیلی سریع اومد نصب کرد و خدمات پس از فروش خوبی داره,No,No,Yes,No,No
وقتی به دستم رسید در ها نیم سانت بالا پایین بود به شرکت زنگ زدم گفت لولاش باید عوض بشه ی هفته هست خبری نیست در سمت راست یخچال که کلا موج داره یخچال صدای خیلی زیادی داره ینی تو خونه صد متری صداش از آشپزی تا خواب میاد هم موقع کار کردن و هم موقع برفک زدایی انگار کشو که نگم برات کلا یدونه کشو داره که اونم باید در یخچال رو تا ته باز کنی تا کشو باز بشه اونم تا نصفه,Yes,Yes,Yes,No,No
نسبت به نمایندگی مادیران قیمت مناسبی داشت البته تو فروش ویژه کیفیت و کارایی را نمیدانم چون هنوز باز نکردم کارتن را,No,Yes,No,No,No
جمع و جور و خوبه از نظر ابعاد.گارانتی و ساخت که مادیران تو این اوضاع قحطی مارکهای معتبر خوبه.درکل ساده و معمولیه ولی خوبه و طراحیش نسبت به بقیه بهتره.صدای خیلی کمی داره.,No,Yes,No,No,Yes
مامورین ارسال یخچال رو تا طبقه سوم اوردند هزینه حمل هم رایگان بود خیلی راضی هستم از خریدم ممنون از دیجی کالا 🙏,No,No,No,No,No
"صحیح و سالم به دستمون رسید ، کم صدا و زیباست با این قیمت یخچال معمولی می‌تونستم بخرم که الان ساید خریدم ، هدیه نقدی هم بعد از نصب شامل میشه فقط یکم حجم فریزرش کمه، عکس ها خیلی کم بود من از همه جاش عکس گذاشتم بهتر ببینید. سریع خنک میکنه و ساده و شیک هست سه تا ایراد داره فقط این که طبقات فریزر کشویی نیست .یه ایراد دیگه که تازه متوجه شدم جنس طبقات فریزر و یخچال ضعیفه و راحت پاک نمیشه. یه ایراد دیگه اینکه برای باز کردن جا میوه ای باید در یخچال کامل باز بشه وگرنه گیر می‌کنه",Yes,Yes,No,Yes,Yes
در این رنج قیمت به نظرم قابلیت‌های خوب و نسبتاً به‌روزی دارد و برای یک خانواده ۴ نفره کاملاً مناسب است,Yes,No,No,No,Yes
سریع به دستم رسید بدون هیچ ایرادی به دستم رسید رایگان نصب کرد نمایندگی هیچ فرقی هم با مغازه نداشت که ۶ میلیون بیشتر میگن هزینه خیلی کم باربری دادم تا درون آسانسور برام گذاشتن,No,No,Yes,No,No
به عنوان ارزانترین ساید بای ساید چیز خوبیه فقط دقت کنید که ارتفاع کمی داره و برای باکس مناسبه,Yes,Yes,No,No,Yes
"با تشکر از دیجی کالا،بسته بندی محکم وبدون خط وخش به دستمان رسید ،گارانتی هم روز بعد نصبش کرد ،بدون صدا وعالی",No,Yes,Yes,No,No
عالی بود و جالب بود قیمت مصرف کننده حدود ۳۲ میلیون بود که دیجی کالا ۲۵ میلیون گذاشته بود با تخفیف,Yes,Yes,No,No,No
یخچال خوبیه برای خانواده ۳ یا ۴ نفر مناسبه با این قیمت فقط میتونی یخچال معمولی بگیری خیلی بی صدا کار می‌کنه و ابتدای راه اندازی دستگاه دوطرف یخچال به شدت داغ میشه و به مرور کم و کمتر میشه,Yes,Yes,No,Yes,Yes
محصول مناسب بود - مشکل اصلی این موضوع بود که سفارش را علی رغم توضیحات ارائه شده در سایت در درب ساختمان تحویل دادند و مجدد 500 هزار تومان برای انتقال آن در حد چند متر و آن هم از طریق آسانسور مخصوص حمل بار تا جلوی واحد اخذ کردند. این موضوع بسیار بد بود و موجب نارضایتی ما از دیجی کالا شد. خواهشمندیم رسیدگی بفرمایید,No,Yes,No,No,No
