1,Quality ,Packaging,Price,Accessories
"دوستان میخوام نظر کلی خودم رو رک و بدون غرض و برای راهنمایی دوستان بیان کنم...هشت سال پیش وقتی که میخواستم یادگیری گیتار رو شروع کنم پیش فروشنده ای رفتم و اون فرد از عدم آگاهی من سو استفاده کرد و بهم گفت که این گیتار کیفیت خوبی رو داره و نسبت به بودجه ای که داشتم میگفت فوق العادست.منم از روی عدم آگاهی اون گیتار رو خریدم و دو سالی باهاش تمرین کردم و یه نسبت اکشن گیتار خوب بود اما سردستش افتضاح بودم که خودم اینو نمیدونستم بعد از یه حادثه گیتارم شکست و منم چون اون زمان بودجه کمی داشتم دوباره این مدل رو تهیه کردم و متاسفانه این بار اکشنش فوق العاده بالا بود و سردستش هم ب همون اندازه افتضاح بود.از یکی از دوستان گیتاریست که حرفه ای هم بود راجع به این گیتار پرسیدم و بهم گفت که خرید این گیتار بد ترین کاری بود که انجام دادم اول فکر کردم شاید از روی عمد چنین حرفی زده ولی خب با دلیل بهم فهموند که واقعا اشتباه کردم و تونستم بعد از ی مدتی گیتارc7Yes یاماها رو تهیه کنم و واقعا متوجه تفاوتاشون شدم و الآن بعد از هشت سال هنوز هم همین مدل رو دارم و همه جا به کارم اومده... مهم ترین عاملی که باید بهش توجه داشته باشید اینه که فروشنده ها بصورت کلی برای فروش محصولاتشون همیشه کالای مورد نظر خودشون رو بهترین جنس معرفی میکنن...پس همیشه سعی کنید برای خرید گیتار با یک فرد آشنا به گیتار(آشنا با چوب و تمامی موارد)مشورت کنید. ببینید دوستان؛خیلی ها فکر میکنند که اگه گیتار ارزون تهیه کنند میتونند آموزش های مبتدی رو باهاش یاد بگیرند و بعد هم اون رو بفروشند و به سراغ گیتار رده بالاتر برن اما باید به این نکته توجه داشت که گیتاری که ارزون باشه یعنی استاندارد نیست مشکلاتی از قبیل سردسته زمخت که به دست آسیب وارد میکنه یا ماشین هد های ضعیف که بلا فاصله باعث دراپ شدن سیم یا همون تغییر کوک گیتار میشن یا اکشن بالای گیتار که از همه چیز بدتره و هنرجو برای یادگیری آکوردها با مشکلات جدی مواجه میشه و همین عوامل باعث میشن تا هنرجو از یادگیری گیتار دلزده بشه و کلا تمرین رو کنار بزاره یکی دیگه از مشکلات گیتار های ارزون و غیر استاندارد بحث فروش اونهاست...اگه دقت کنید میبینید توی برنامه هایی از قبیل دیوار و شیپور گیتارهای ارزون زیادی دیده میشه و همین عامل نشون میده که این گیتار ها چنین مشکلاتی رو دارا هستند و متاسفانه دوستان بعد از خرید این نوع گیتارها با نتایج بدی رو به رو میشن... نظر شخصی خودم اینه که برای خرید گیتار سعی کنید گیتاری تهیه کنید که براتون عمری کار کنه یعنی گیتاری باشه که همیشه و همه جا چه در سطح مبتدی چه حرفه ای همیشه همراهتون باشه و شما رو بی نیاز کنه... متاسفانه کشور ما برخلاف سازهای دیگه ای که در ایران ساخته میشن و کیفیت بالایی هم دارند متاسفانه در بحث ساخت گیتار پیشرفت چندانی نداشته و بجز تعداد معدودی از لوتیر های حرفه ای گیتار،نمیشه توقع بالایی از سای لوتیرها داشت... الآن بر اساس قیمت دلار یه گیتار استاندارد(گیتار کلاسیک) حداقل بین 7 تا 8 تومن شروع قیمت هستش پس برای خرید گیتار سعی کنید بودجه مناسبی داشته باشید...اگه بودجه ای پایین تر از 5 تومن دارید بهتون مدل های c4Yes یاماها(دقت کنید ساختش برای اندونزی باشه نه چینی) یا Ak2Yes و Ak3Yes آریا رو پیشنهاد میکنم...اگه بودجتون بالای YesYes تومنه قطعا فندر یا مدل های CG رو پیشنهاد میدم...اگه 2Yes تا 3Yes تومن دارید قطعا آلمانزو یا الحمبرا و بالاتر از اون تنها پیشنهاد من گیتار های مانوئل رودریگز هستش... موفق باشید...",Yes,No,Yes,No
"اگر قصد خرید داریدو مبتدی هستید این گیتارو پیشنهاد میکنم چون قیمتش منصفانه هست نسبت به بقیه گیتارها و ظاهرش فوق العاده قشنگه! من رنگ قهوه ای شتری گرفتم که دقیقا مثل طرح چوبه و به نظرم از بقیه رنگ هاش قشنگ تره بسته بندی خوبی داشتو گیتار سالم بدستم رسید کاور و دفتر نوت هم همراهش بود فقط متاسفانه یکی از سیم هاش دراومده بود که خودم درستش کردمو مشکلی نداشت. از لحاظ اکشن و صدا هم متوسطه، میتونست بهتر باشه اما به نظرم با توجه به قیمتش قابل قبوله در کل خودم که خیلی دوسش داشتم شما هم اگر قصد خرید دارید حتما بخرید!",Yes,Yes,Yes,Yes
واقعا ممنون از فروشنده گرامی که این گیتار عالی را برای من فرستاد به شما هم پیشنهاد می کنم فقط چون نو هست بعد از چند بار زدن از کوک در می اید و عادی هست ولی بعدا اوکی میشه کیفش که عالیی بود جنس خیلی خوبی داشت و یه پیک و یه دفتر نوت و یک برگه راهنما اشانتیون بود که ممنونم از فروشنده بسته بندی هم که عالی بود بابت این محصوت عالی من هرچی تعریف کنم کمه,Yes,Yes,No,Yes
در این کلاس و این قیمت بسیار گیتار عالی هست / سپاسگزار بابت لوازم همراه گیتار (کیس / دفتر نت و یک گیتار کوچولوی تزئینی) من فقط یک ربع درگیر باز کردن بسته بندی بودم بسیار محکم و مقاوم بسته بندی کرده بودند سپاسگزار از فروشگاه والاس به مدیریت جناب بوستانی,Yes,Yes,Yes,Yes
بسته بندی خود فروشگاه عالی بود وگرنه مطمعنم با ضربه هایی که جعبه گیتارو نابود کرده بود گیتار میشکست بر من توی اشانتیون هاش جای پیک نداشت ولی بجاش یه دکوری شکل گیتار گذاشته بودن ممنونم از فروشگاه والاس,No,Yes,No,Yes
من این گیتار رو سفارش دادم ولی به جای بنفش برای من یاسی فرستادن میخواستم مرجوع کنم که قبول نکردن و الان گیتارم 2 ماهه که دستشونه و برام نمیارنش واقعا متاسفم و اصلا انتظار نداشتم,No,No,No,No
یه رنگ مشکی و یه رنگ قهوه ای سفارش دادم... رنگ مشکی پر از خطو خش. یه جاهاییشو که زدگی داشته با ماژیک مشکی کردن!!! زود کپک خالی میکنه کیفیت خیلی پایین. رنگ قهوه ای هم دو لکه رنگ داشت و یسری رنگ رفتگی در پشت گیتار. جنس پیکی هم که میفرستن از این درجه سه های بازیافتی نازکه,Yes,No,No,Yes
درسته مبتدی هستم و هیچی بلد نیستم ولی این گیتار خیلی محصول عالی هست و من کنارش به اوج میرسم,Yes,No,No,No
خیلی گیتار خوب و خوش دست و خوش صداییه برای من که مبتدی بودم عالی بود ممنونم از فروشگاه والاس که هم دفتر نت و ی پیک و آموزش استفاده از گیتار رو به عنوان اشانتینون گذاشته بود کاور گیتار خییلیی محکمه بسته بندی ام کاملا خوب بود و اینکه گیتار هم کوک شده بود هم تنظیم شده بود همه چیش,Yes,Yes,No,Yes
من راضی بودم. فقط ساز اصلا کوک نبود و سیم وسط کامل شل بود. من خودم کوک کردن بلد نبودم و با جست و جو در اینترنت و ویدیو به سختی کوک کردم. اشانتیون هم هیچی همراهش نبود,Yes,No,No,No
"واقا خفن و با کیفیته

به نظرم خیلی گیتار خوبی بود و با توجه به قیمتش کیفیت عالی داره و همین گیتار رو فروشگاه شهر ما بدون کیس و اقلام همراهی که فروشگاه والاس بهم داد به این قیمت میداد پس واقا به صرفه و خفنه ساز هرکی گرفته مبارکش باشه انشالله و باهاش یه عالمه قطعه خوشگل بتونه بزنه☺❤",Yes,No,Yes,Yes
