1,Quality,Size,Performance,Price
بنظرم با کیفیت و از نظر اندازه خوبه...من تازه خریدم و باید دید در ادامه از نظر کارآیی می‌تونه قابل قبول باشه یا نه,Yes,Yes,Yes,No
سلام من امروز ماشین لباسشویی رو از لذت اعتماد تحویل گرفتم و درب کالا شکسته بود و از لوله لباسشویی هم آب می‌اومد کالا دست دوم و معیوب فرستادن و کالا رو مرجوع نمی کنند از این فروشنده خرید نکنید لطفاً اصلا حق مشتری رو رعایت نمی‌کنند.,Yes,No,No,No
چند روزه که خریدم و نمی شود تصمیم گرفت ولی در کل خوب است,Yes,No,No,No
محفظه خشک کن خیلی کوچیکه پتوی یک نفره هم جا نمیشه چه برسه پتوی دو نفره و روتختی ولی واقعا تمیز میشوره,No,Yes,Yes,No
عالیه من که راضی هستم دوسش دارم,Yes,No,No,No
بسته بندی و برخورد مامور تحویل خوب بود. یک روز زودتر تحویل دادن. فقط تنها نکته منفی نشت آب از قسمت خشک‌کن بود که مجبور شدم بازش کنم و با چسب آکواریوم عایقش کنم!,Yes,No,No,No
خوبه فقط یه مقدار سنگین تر میساختنش که لرزشش کمتر باشه بهتر می بود.,Yes,No,Yes,No
خیلی خوبه من که خوشم اومد تمیز کردن لباس های خیلی کثیف براش آسونه,No,No,Yes,No
خیلی خیلی عالیه من اصلا فکرشو هم نمیکردم از محکم بودن پلاستیک که اصلا به وزنش هم نمیخوره قشنگتر از اون چیزی که توعکس بود,Yes,No,No,No
مادرم نمیزاره لباس کار رو با ماشین لباسشیش بشورم .اینو گرفتم .کتونی و لباس کار رو همه چی رو با هم میریزم بشوره .دمتون گرم تمیز میشوره .باید یبار قابلمه و ظرف بریزم داخلش ببینم اگر بتونه اونم بشوره که فوق العاده اس😍😍,Yes,No,Yes,No
"عالی از همه نظر،،،قیمت،متریال،کیفییت،کارایی فقط آبگیری خودکار و قطع کن آبگیری نداره",Yes,No,Yes,Yes
هرکی که گفته جعبش کثیف بوده اصلا قبول نکنید همچی عالی بود دیجی کالا سر وقت رسوند از لباسشوییشم نگم که خیلی کاربردی و خوبه چشم بسته بخریدش من ک خیلی خیلی راضیم,Yes,No,Yes,No
کارتنش پراز کثافت پرنده بود ولی بسته بندیه محکمی داشت وبموقع ارسال شد مامور ارسال هم خوب همکاری کردن,No,No,No,No
تحویل و نصب خوب بود,No,No,No,No
من برا پتو گرفتم و کارش عالیه ولی کاش طوری درستش میکردن که بشه اتومات کار کنه و نیاز نباشه تنظیمش رو خودت انجام بدی,Yes,No,Yes,No
متاسفانه از خریدم پشیمان شدم شلنگ تخلیه فاضلاب ترک داشت و نشط پساب شستشو آشپزخانه را کثیف کرد و حالا مجبورم فرش و موکتها را بشویم وسیله آکبند نباید ایراد داشته باشد شلنگ تخلیه از جنس خشک و شدیداً نازک بود و از محل اتصال به پمپ تخلیه ترک داشت که خودم با هزینه حدودا یکصد هزار تومان شلنگ جدید تهیه و نصب کردم و مشکل فعلا حل شد خدا کنه دوباره مشکل پیدا نکنه,Yes,No,Yes,No
