1,Sound-related aspects,Comfort and ergonomics aspects,Build and design aspects,Battery and power aspects
"کیفیت

بعد از یک روز استفاده نظرم رو مینویسم: کیفیت صداش حرف نداره، حجم صدا خیلی خوبه. من این رو با یک مدل خیلی ارزون (کمتر از یک میلیون تومان) هایلو مقایسه کردم از لحاظ حجم صدا تقریبا یکی بودن و کیفیت صدای بیتس بهتره و همه چیز خیلی به اندازه و خیلی دلنشینه اما نه اونقدر که از این اختلاف قیمت توقع دارید.(یعنی توی کیفیت صدا مدل های ارزون تر هم کارتون رو لنگ نمیذاره) کیفیت مکالمه عالیه و هیچ حرفی توش نمی‌مونه. دو مود نویز کنسلیشن و ترنسپرنسی داره که توی مود نویز کنسلیشن نویز رو به خوبی میگیره و مکالمه افراد رو محو میکنه اما از بین نمی‌بره به صورتی که اگه موزیک پلی نباشه تقریبا تا شصتهفتاد درصد از صدای بیرون رو نمی‌شنوید و اگر پلی باشه هیچ صدایی از بیرون رو نمی‌شنوید. توی مود ترنسپرنسی اگر هیچ موزیکی پلی نباشه کمی صدای نویز محیط رو تشدید می‌کنه البته میتونید هر دو مود رو آف کنید که مصرف باتری رو کم میکنه. واقعا خیلی خوب باتری نگه میداره و خیلی هم سریع شارژ میشه توی کیسش. متریال دستگاه واقعا خوبه و حس خوبی میده وقتی دستت میگیری، کیسش یکم بزرگه اما توی جیب خیلی اذیت نمیکنه البته برآمدگیش کاملا دیده میشه توی جیب. داخل کیس رنگ خاکستریش یه رنگ سبزگونه ی خیلی ملایمی داره و اینطوری که توی عکس به نظر میاد سفید نیست.دکمه ی روی هدفون فیزیکیه و خیلی هم نرم و راحت کلیک میشه و قابلیت کاستوم کردن هم داره هر اکشن هاش. من این هدفون رو برای باشگاه گرفتم چون تقریباً همه ی ایردباز ها از گوشم میفتن. باله ی دستگاه رو اگه کامل توی گوش فیت کنید به هیچ وجه نمیفته از گوش اما برای مدت طولانی (حدود یک ساعت برای من) فشار باله گوشتون رو اذیت می کنه. البته میتونید باله رو بیرون بذارید که تقریبا مثل ایربادز های دیگه میشه. روی آیفون انیمیشن های باحالتری داره و روی جعبه اش هم نوشته که برای دستگاه های اپل ساخته شده اما روی اندروید هم کار می‌کنه. (برای اندروید نیاز به نصب اپ داره اما به خوبی کار می‌کنه) خیلی راحت به دستگاه متصل میشه و اصلا اذیت نمیکنه.

فیت شدن توی گوش

نگهداری شارژ خیلی خوب

کیفیت مکالمه خیلی خوب

شارژ سریع

کیفیت ساخت و متریال عالی
معایب:
باله هاش اگر توی گوش فیت بشه بعد یه مدت گوش رو اذیت می‌کنه",Yes,Yes,Yes,Yes
"هدفون بیتس نیاز به تعریف نداره

برای کسایی که به موزک علاقه مند باشن برند بیتس نیاز به تعریف نداره من ایرپاد پرو هم داشتم یه سری مزیت ها نسبت به ایرپاد داره ولی خب چند تا عیب هم هست به نظرم حالت ترنسپرنسی باعث کاهش کیفیت صدا نمیشه بر خلاف ایرپاد پرو ولی بجاش شفافیت صدای بیرون نسبت به ایرپاد خیلی کمتره حالت نویز کنسلیشن که عالیه حرفی توش نیست حالت فضایی خیلی جالبه سرتون رو که به اطراف میچرخونید صدا هم تغییر میکنه بر خلاف ایرپاد پرو 2 حجم صدا قابل تنظیم نیست اما میشه در حالت نگهداشتن کلید به جای دستیار صوتی یا حالت نویز کنسلیشن، کنترل حجم صدا رو بزارید تنها مشکلی که به نظرم زیاد به چشم میاد اینه که موقع گذاشتن گوشی ها داخل گوش دستتون میخوره به کلید ها و اهنگ پلی یا قطع میشه
مزایا:
کیفیت عالی

فیت شدن کامل داخل گوش

نیوفتادن گوشی ها تحت هر شرایطی

عدم کاهش کیفیت در حالت ترنسپرنسی

حالت نویز کنسلیشن عالی

حالت فضایی جالب

تغییر وضعیت کلید در هنگام قرار دادن در گوش",Yes,Yes,Yes,No
"بهترین هندزفری بلوتوث

من یکسال پیش از جای دیگه مرکز فروش همین برند تهیه کردم رنگ خاکستری. واقعا رضایتم بالاست. هر آنچه میخواستم رو بهم داد حتی بیشتر. قبلش گلکسی بادز پرو داشتم، اما این کجا و آن کجا. واقعا گاهی دوست دارم همینطور جعبشو نگاه کنم. بررسی یکساله من: توی گوش بدون باله هاش فیت میشه کامل، اما باله رو که بندازین حتی یک لول بالاتر هم کیپ میشه. نویز کنسلینگ بسیار قوی و حرفه ای. پخش موسیقی دلبخواهتون خواهد بود بی شک. اندکی سایز باکسش بزرگتر از ایرپاد پرو. تاخیر پخش در حد ایرپاد پرو. نکته مهم هم اینکه از پردازنده ایرپاد پرو یعنی HYes درش استفاده شده و با هر دو سیستم عامل سازگاره.
مزایا:
پردازنده ابرپاد پرو

پشتیبانی نرم افزاری

ظاهر زیبا

کیفیت پخش

کیفیت ساخت",Yes,Yes,Yes,No
"بسیاررررر عالی

من هم ایرپاد داشتم هم اینو در کل بنظرم بیتس فیت بهتره هم ظاهرش هم کیفیتش ولی اپل هم عالی بود
مزایا:
کیفیت عالی

بلندی صدای عالی

باس قوی
معایب:
استفاده طولانی مثلا ۳۴ ساعت( که معمولا کسی اینقد یسره استفاده نمیکنه) گوش رو اذیت میکنه",Yes,Yes,Yes,No
"این هدفون رو بخاطر گیره های موندن روی گوش خریدم. تجربه‌یی مشابه Buds pro سامسونگ میده بهم. اگر اون روی گوشم میموند نیاز به خرید این نمیشد:)) نویز کنسیلیشنش کاملا معمولیه. فقط مهمه بدونید که اگر چیزی پخش نکنید و نویز کنسلیشن رو روشن کنید، خودش یه نویز زیر پخش میکنه. با پخش موزیک دیگه متوجهش نمیشید.
مزایا:
بس مناسب

اسپیشال آدیو در آیفون و مک

کیس شارژر رو دو هفته یکبار شارژ میکنم

سوییچ سریع بین دستگاه ها

کیفیت بسیار بالا
معایب:
زمان بردن اتصال به دستگاه در صورت استفاده از فقط یک گوش

پایین بودن کیفیت ساخت در کیس شارژر

بدنه کیس شارژر حس شکننده بودن میده

عدم کاهش نویز میکروفون در مکالمه",Yes,Yes,Yes,Yes
"بیتس فیت پرو فیک

واسه من که فیکه چون صدای موسیقی کمی بم و بسیار معمولیه و صداش نسبت به هدفون های معمولی کمتره.چند سال پولمو جمع کرده بودم و بابت یه چیز فیک حروم شد.توروخدا شما ها از دیجی کالا نخرید که فیکه فیکه میده بهتون و مث من پشیمون میشید

صدای بم

غیر اصل

نویز معمولی",Yes,No,No,No
"پیشنهاد میکنم خرید کنین

من رنگ خاکستری رو خریدم و ایرپاد پرو و ۲ و ۳ رو هم داشتم این خیلی بهتره در کل به نظر من .
مزایا:
داخل گوش خوب فیت میشه

کیفیت صدا عالیه

شارژ دهی عالی

به راحتی داخل کیس قرار می‌گیرد جهت شارژ راحت‌تر از Power Beats Pro
معایب:
قیمت بالا

بیشتر از یک ساعت استفاده گوش درد می‌گیره

ابعاد کیس نصبت به گوشی ها بزرگه

نویز کنسلینگ بسیار ضعیف نسبت به ایرپاد پرو",Yes,Yes,No,Yes
خوبه ولی قیمتش بالاست,No,No,No,No
"درموردهندزفری بیتس

باعرض سلام وخسته نباشیدخدمت کارمندان دیجی کالا هندزفری بیتس ازهمه نظرعالی یعنی ثانیه توخریدتون شک نکندهم شارژدهیش عالیه وهم جاگیری توگشت",No,Yes,No,Yes
"مناسب گوش نیست

گوش درد میگیره ادم شارژم زود تموم میکنه",No,Yes,No,Yes
"عالی

من اندروید دارم خوبه ولی با اپل خیلی مچ تر و بهتر میشه",No,No,No,No
"بیس نرم و خوب

برای بررسی این هندزفری میتونم بگم که fit pro از لحاظ کیفیت ساخت گوشی ها کیفیت خوبی داره بیس خوبی داره و صدای نرمی میده کیفیت کیس شارژ خیلی بده نویز کنسلینگ قوی نیس در کل کیفیت صدای خوبی داره و موقع ورزش کردن نمیفته و ارزش خرید داره
مزایا:
وضوح صدا

کیفیت ساخت گوشی

بیس نرم
معایب
شارژ نشدن کیس شارژ به صورت وایرلس

کیفیت ساخت کیس شارژ",Yes,Yes,Yes,Yes
ینی در عمرم هدفون به این خوش صدایی و باکیفیت ندیدم .ایرپاد پرو ایرپاد‌ 3‌ به گرد پاشم نمیرسن .بخرید باخیال راحت,Yes,No,Yes,No
"همه چیش عالیه فقط باله هاش توو طولانی مدت اذیت میکنه و موقع خرید ورژن framework قدیمیه و باید آپدیت کنید که یچیزی حدود ۷ ۸ ساعت طوا کشید و هرکدام از بادز ها ۲ ساعت قطع میشن
نقات قوت:
باطریش

کیفیت صدا

طراحی
مشکلات:
باله هاش گوش رو اذیت میکنه توو مدت بالای ۱ ساعت",Yes,Yes, No,Yes
"با کیفیت و مناسب ورزش

برای من مهم ترین خصوصیتش اینه که هنگام ورزش سنگین از گوش نمی افته. کیفیتش صداش هم عالیه
مزایا:
کیفیت عالی

نویز کنسلینگ مناسب

دکمه های فیزیکی برای جلوگیری از لمس اشتباه هنگام ورزش

به هیچ عنوان از گوش نمی افتد، حتی با فعالیت سنگین
معایب:
خسته شدن گوش بعد از استفاده ی طولانی مدت",Yes,Yes,Yes,No
"بیتس نیاز به تعریف نداره

من ایرپاد پرو نسل اول داشتم وای به توصیه یکی از دوستان اینو خریدم اولین چیزی که به چشم میاد عدم تغییر کیفیت صدا در ماکزیمم و حداکثر ولوم هست دوم مدت شارژش نسبت به ایرپاد پرو بیشتر هست سوم اگه مثل من با فیت بودن داخل گوش مشکل دارین و هندزفری هاتون از گوشتون میافته، با این موضوع اصلا دیگه مشکلی نخواهید داشت مقایسه اندازه اش هم با درب آب معدنی گذاشتم
مزایا:
فیت خوب داخل گوش

صدای فوق العاده

قابلیت اجرای spatial audio
معایب:
در طولانی مدت زائده داخل لاله‌گوش اذیت کننده",Yes,Yes,No,Yes
"بی نظیر

کیفیت صدا از نظر من خیلی بهتر از ایرپاد پرو شده. البته تا حدی سلیقه ای میشه ولی من تن صدای بیتس ( که در واقع حالت V شکل معروف بیتس داره و low و high بیشتر از mid هست) رو ترجیح میدم به تن صدای فلت تر ایرپاد. کیفیت مکالمه و نویز کنسلینگ هم مثل ایرپاد و تفاوت خیلی جزئی دارن. از نظر ظاهری هم رنگ مشکی بیتس رو خیلی ترجیح میدم و حالت ایستادنش هم توی گوش خیلی بهتر از ایرپاده اصلا موقع ورزش تکون نمیخوره. فقط چند مورد منفی هست که البته برای من زیاد مهم نبود مثل کیفیت پایین تر کیس نسبت به ایرپاد (مخصوصا لولای کیس)، نداشتن شارژ وایرلس و ایجاد خستگی برای گوش در استفاده طولانی مدت",Yes,Yes,Yes,Yes
