1,Quality ,Price,Appearance,Performance,Comfort,Water resistance
ساعت خوبیه و سنگینیه بخصوصی داره. ظاهرش از عکس بهتره و در کل خوشگله و من پسندیدم. حس خوبی میده.,Yes,No,Yes,No,Yes,No
"سلام،چون اکثرا تایید کردند این ساعت رو،من هم خریدمش و خب به نسبت قیمت به نظرم خوبه،وزنش حدود ۱۳۵ گرم هست که کمی سنگین به نظر میرسه،زیر آب گرفتم و داخل آب هم فرو بردم که اب داخلش نرفت،تا بعد که ببینم وضعیت باطری و ضد آب بودنش چقدر دووم میاره.",Yes,Yes,No,No,No,Yes
خطاب به دوستانی که میگن توی شب هیچی معلوم نیست بگم که این نوع شبتاب باید شارژ بشه با نور با چراغ قوه سی ثانیه نگه دارین روش بعد میبینین که بازتاب نور داره و این که ساعت عالی و قشنگیه ولی شب تاب هاش استفاده مفیدی نداره,Yes,No,Yes,No,No,No
"یه ساعت معمولی و در حد قیمتش، تعریف هایی که ازش شده سطح توقع رو می‌بره بالا در شرایطی که کیفیت معمولی داره، این که دست من رسید هم توی تاریکی هیچ بازتابی نداره، شاید این مدل ساعت ۲ تا کیفیت داره و شانس من فیکش رسیده دستم",Yes,Yes,Yes,No,No,No
"دوستان با پیرو تجربه خرید خودم میگم،اگه قصد خرید یک ساعت لاکچری و در عین حال اقتصادی رو دارین از خرید این محصول غافل نشید.باور کنید پشیمان نمی شوید....با سپاس از دیجی کالا",Yes,Yes,No,No,No,No
"خوب بود، قابل استفاده بود. اما هر ذائقه‌ای یک پسندی داره. با انصاف نگاه که کنیم در این شرایط خیلی مقرون بصرفه ست.",Yes,Yes,Yes,No,No,No
من سر این ساعت به اسکمی اعتماد کردم این ساعت سگ جون خوبیه و راضیتون می کنه من 300 ت خریدم ولی هنوزم ارزش خرید داره,Yes,Yes,No,Yes,No,No
ساعت واقعا عالی تو این رنج قیمت خیلی مناسبه عقربه هاش شبنما هستند اما نورش خیلی نیست دسته هم استیل هست وقتی که جعبه شو میگیرید فکر می‌کنید شکسته ولی نه باید خودتون بزنید جا مناسب هدیه دادن هست و واقعا از این ساعت های هوشمند خیلی خوشگل تره,Yes,Yes,Yes,No,No,No
"ممنون از دیجی کالا مثل همیشه عالی بود:کالا عالی،تحویل به موقع،قیمت مناسب الان دستم رسید ،همونی بود که می خواستم،امیدوارم به مرور زمان هم خوب کار کنه و موتور و بند و بقیه اش با کیفیت باشه نکته جالب اینکه قیمت دیجی کالا از سایت رسمی اسکمی نزدیک ۵۰۰ تومن کمتره به نظرم کلا ساعت مچی کلاسیک بهتر از هوشمند است و برند اسکمی تو بازار ساعت حکم برند ردمی تو بازار موبایل رو داره:قیمت خوب=کارکرد عالی",Yes,Yes,No,Yes,No,No
"کمتر از ۱ ماه هست که خریدمش اما قسمت بالای بند که با پین وصل میشه به ساعت کمی باز شدن، عقربه های شب نماش خیلی کارایی ندارن توی تاریکی و چیزی مشخص نیست",Yes,No,Yes,No,No,No
من دو سه ساله دارمش همیشه دستمه کاملا ضد آبه به خاطر شغلمم چندین بار به شیشش میلگرد و آجر و...خورده اصلا خط و خش نیفتاده . فقط جنس بندش میتونست یکم با کیفیت تر باشه,Yes,No,No,No,No,Yes
"وقتی که خواستم تنظیمش کنم عقربه دقیقه شمارش به اندازه 5 دقیقه لق میزد و شل شده بود، مرجوعش کردم و دیجی عزیز 49 تومن پول پست رو هم ازپولم کم کرد، ممنون از این قوانین مرجوعیتون",Yes,No,No,Yes,No,No
سلام ساعت خوبیه خیالتون راحت نسبت ب قیمتش وزن مناسبی داره جعبش هم زیباست و برای کادو عالیه,Yes,Yes,Yes,No,No,No
ظاهرش مثل عکسه و واقعا زیباست و خیلی گرون تر از قیمتش به نظر میاد ولی کیفیت ساخت خوبی نداره و باعث حساسیت و خارش پوست میشه البته این یچیز شخصیه ممکنه واسه بقیه اینطور نباشه.,Yes,Yes,Yes,No,Yes,No
خوش دست و زیبا است و اگر موتور ساعت هم به بهترین شکل کار کند بسیار خوب است,Yes,No,Yes,Yes,No,No
"خیلی شیک و قشنگ بود،من برای کسی کادو گرفتم خیلی خوشش اومد ، تو یه جعبه شیک هم ارسال کرده بودن 😍👍",No,No,Yes,No,No,No
اولا سنگینه دومأ اون چیزی که توی تصویر هست برات ارسال نمیکنن کلا صفحه ساعت تغییر داشته,No,No,Yes,No,Yes,No
با سلام من زیر یک سال این ساعت و خریدم ازش خوشم میاد ولی بعد از چند ماه عقربه هاش بطرز عجیبی روی خود ساعت نیست مثلا ساعت یک هستش عقربه بین ۱۲ و ۱ ضربه انچنانی نخورده بهش .بهر حال همونجوری داره کار میکنه فعلا.,Yes,No,Yes,Yes,No,No
"سریع به دستم رسید،با تشکر از تیم دیجی کالا،در کل حس خوبی بهتون میده،سنگین هستش،در کل نسبت به قیمت خوبه",Yes,Yes,No,No,No,No
ساعت واقعا شیک و خوبیه . جنس بند هاشم از متریال با کیفیتیه که حس خوبی بهتون میده . اگه ساعتی تو این بازه قیمتی میخواین واقعا فوق العادس,Yes,Yes,Yes,No,No,No
به نسبت قیمت خوبه بندش خیلی جنس محکمی نداره در کل هم ساعت سبکیه ولی به نسبت قیمتش انتخاب خوبیه,Yes,Yes,No,No,No,No
ساعت کوچکتر از چیزی هست که میبینید(نه اونقدر) وزن خوبی داره به نظرم به عنوان ساعت 900تومنی انتخاب عالیه,Yes,Yes,Yes,No,Yes,No
"اول اینو بگم که در واقعیت صفحه دایره ای شکلش کوچکتر از تصویر سایته . دوم اینکه دستبندش کیفیت بالایی نداره و برای من بزرگ بود ، بردم ساعت فروشی تا تنگش کنم .",Yes,No,Yes,No,No,No
خیلی ساعت شیک و زیبایی هست. برای من اشکال فنی داشت که مرجوع کردم ولی قطعا دوباره ازش سفارش میدم,No,No,Yes,No,No,No
برند نیست ولی نسبت به قیمتی ک میدین خوبه اگ میتونین یکم بیشتر هزینه کنین کاسیو با ۱تومن ساعتای بهتری داره,Yes,Yes,No,No,No,No
من به تازگی خریدم و در خصوص کیفیتش نمی تونم نظر بدم. ولی در کل از خریدم راضیم و ساعت زیبایی هست,No,No,Yes,No,No,No
برای کادو دادن این محصولات رو به هیچ وجه از دیجیکالا ندیده سفارش ندید چون باعث آبرو ریزی میشه عقربه ها مشکل داشت و نامیزون بود,Yes,No,Yes,No,No,No
از نظر ظاهری خیلی شیکه برای پدر شوهرم برای روز پدر خریدیم خیلی شوهرم خوشش اومده بود یکی دیگه هم سفارش زدم برای روز مرد بزوی دستم میرسه. ولی عمر و کیفیتشو نمیدونم تا استفاده نشه نمیتونم چیزی بگم .,No,No,Yes,No,Yes,No
زود رسید تر تمیز و مرتب پیچیده شده و جعبه زیبا و سالم داشت ساعت زیباییه باتری داشت و و بدون ایراد بود دوسش دارم برای روز پدر گرفتم پسند شد,No,No,Yes,No,Yes,No
جنس ساعت خوب بود و نسبت به قیمت هم خوب بود ولی جعبه مخصوص نداشت ساعت و خیلی زود هم به دستم رسید,Yes,Yes,No,No,No,No
واقعا شیک بود شب نما کار می‌کنه فقط باید بهش نور بتابه تا در تاریکی کار‌کنه,No,No,Yes,No,No,No
"سلام فنی ک نظری ندارم چون تازه رسیده دستم ظاهر زیبایی داره مناسب سنمه ک ۴۴ ساله هست منظورم اینه ک بزک دوزک نیست شیک و ساده ، بند شیک ولی متاسفانه توخالی و سبک ک واقعا نقطه ضعف بزرگیه براتون عکس می زارم",Yes,No,Yes,No,No,No
بنظر من تو این رنج قیمت گزینه عالی محسوب میشه هم کیفیتش خوبه و هم ظاهر قشنگی داره,Yes,Yes,Yes,No,No,No
نه عقربه های شب داره و نه ضد زنگه و درکل بدرد نمیخوره مثل تصویرش هم قشنگ نیست فریب تبلیغات کاذب رو نخورین که خیلی پشیمون میشین,Yes,No,Yes,No,No,No
بسیار عالی . خوب و به موقع تحویل شد . عکس محصول را آپلود کردم که دوستانی که قصد خرید دارن نمونه بدون نورپردازی و طبیعی را ببینند و بپسندن. با تشکر,Yes,No,Yes,No,No,No
وای عالیه . برای همسرم کادو گرفتم خوشش اومد و من که عاشق این ساعت شدم. مرسی از پرسنل دیجی کالا برای زحمات و خدمات خوبشون,No,No,Yes,No,No,No
بسیار ساعت زیبایی هست قیمتش خوبه و تو عکس هم میتونید ببینید بست هبندی اصلیش چطوریه البته خیلی فروشند هها اصلشو میفروشن ولی با بسته بندی متفرقه,No,Yes,Yes,No,No,No
از داخل عکسش خیلی قشنگ تره. در رابطه با عقربه های شب تاب که یک سری ها نوشتن نداره این ها به این صورت کار میکنند که با جذب نور اون رو در تاریکی بازتاب میکنند.برای تنظیم تاریخ هم یک مرحله باید اون رو بیرون بکشید و برای تنظیم عقربه ها اون باید دو مرحله بیرون کشیده بشه,No,No,Yes,No,No,No
ساعت خوش دست و قشنگیه تقریبا شبیه تصویر تبلیغشه تازه گرفتمش انچنان تستش نکردم ولی موتورش جا نمونده و مث بنز کار میکنه راجع به ضد اب بودنش نظری ندارم چون وجود نداشتم تستش کنم ولی شب تاب نبود برا من تاریخ شمارشم کار میکنه کسایی میگن کار نمیکنه احتمالا بلد نبود تنظیمش کنن پک و بسته بندیشم زیباس و مخصوص برند ساعت مناسب هدیه و کادو نسبت ب قیمت خیلی خوبه,No,Yes,Yes,Yes,No,No
اصلا نگران زیباییش نباشید که هیچی کم نداره. از نزدیک حتی از عکسشم زیبا تره برای استفاده همراه با لباس های رسمی عالیه دوستام که تو دستم دیدن میگفتن به ظاهرش میخوره زیر سه میلیون تومن نباشه قیمتش تو نت سرچ کنید فیلم های جعبه گشایی و تست ضد آب بودن و ضدخش بودن شیشش هست. میتونید معرفی کامل تری از این محصول رو تو سایت سازندش و فروشگاه های اینترنتی معتبر دنیا ببینید. من خودم تو لیوان آب گذاشتم ضدآب بود. ساعت من یه خط به اندازه یه نقطه خیلی کوچیک روی شیشش داشت.,Yes,Yes,Yes,Yes,No,Yes
"از عکساش واقا قشنگ تره ، سنگینی خوبی داره و حس کیفیت میده ، شیشه ذره بینی که خیلی خوبه ، در کل به نسبت قیمت عالی",Yes,Yes,Yes,No,Yes,No
"نزدیک 5 سال دارم. موتورش خوبه، تغییر رنگ هم نداشته تا الان. در کل کیفیتش خوبه نسبت به قیمتش",Yes,Yes,Yes,Yes,No,No
در کل نسبت به میزانی که پول پرداخت می کنید رضایت شما را جلب می کند.,No,Yes,No,No,No,No
ظاهر شیک و مردانه داره تو دست واقعا قشنگه در شبانه روز گذشته خوب کار کرده عقب نیفتاده بسته بندی شکیل داشت مناسب هدیه س اگر سلیقه شخص ساعت عقربه دار هست پشیمون نمیشید,Yes,No,Yes,Yes,No,No
"ساعت خوبیه با توجه به قیمتش و با بسته بندی خوبی ارسال شد، دوستانی که نمیتونند روز شمار رو تنظیم کنند توجه داشته باشند که اون بیلبیلک رو یک مرحله بکشن بیرون و به سمت چپ بچرخونن، برای تنظیم ساعت هم دو مرحله بکشن بیرون.",Yes,Yes,No,No,No,No
"چند روزی هست که خریدمش فراتر از انتظارم بود هم در ظاهر و هم از نظر کیفیت کارکرد ساعت و تقویم ، امیدوارم همینطور بی نقص کار کنه ، بسیار شیک و زیبا و خوش دست هستش خصوصا به عنوان کادو و هدیه و ارزشی فراتر از مبلغ پرداختی داره نمیدونم ضد آب هست یا نه ولی خب سعی کنید مراقب باشید ، آقا یه کلام ، بخرید با خیال راحت",Yes,Yes,Yes,Yes,No,Yes
"بعد از بررسی خیلی زیاد بالاخره خریدمش،متریال استفاده شده در ساعت نسبت به قیمتش عالیه،قفل ساعت با یک دکمه در سمت چپ باز و بسته میشه،راجب موتور نمیشه نظری داد،ولی تو طول زمان مشخص میشه(:",Yes,Yes,No,No,Yes,No
اگر به ظاهر تون توجه دارید و معمولا ساعت درشد دستتون میکنید گذینه بسیار عالیه فقط یکم سنگین هست. وقتی ارسال میشه سایزش بزرگه باید ببرید ساعت فروشی کوچیکش کنید. نکته آخر هم این که انقدر کوچیکش کنید که تو دستتون نچرخه,No,No,Yes,No,Yes,No
امروز به دستم رسید عالی بود فقط یکم دسته اش بزرگه باید ببرم کوچیک کنن همه چی عالیه هم بدنه اش که حساسیت زا نیست برندشم برند خوبیه تا حالا هرچی ساعت اسکمی خریدم راضی بودم ازش. تشکر از دیجی‌کالا,Yes,No,Yes,No,Yes,No
به نظرم بعد ۶ ماه استفاده انتظارات از یه ساعت معمولی رو برآورده میکنه بی غل و غشه و الان شش ماهی که دستمه داره درست کار میکنه بند ساعت اولش بزرگ هست که باید ببرین کوچیکش کنین اما هیچ گونه مشکلی بعدش برنمیخورین نسبتا هم سبکه اما از نظر ظاهری یه ساعت خوب دیده میشه,Yes,No,Yes,Yes,Yes,No
"اگر دنبال یه ساعتی میگردید که واسه تیپ مجلسی ، یا تیپ رسمی به هر لباسی بیاد همن انتخابه عالیه ! سرتون رو درد نمیارم ، من این ساعت رو دو برابر قیمت اینجا از بیرون خریدم و وقتی این قیمت رو دیدم واقعا شوکه شدم ! شاید باورتون نشه اینقدر این ساعت شیک و قشنگه که دلم نمیاد هر جایی بذارم رو دستم ، یه برق خاصی میزنه بدنه ساعت که دلتون میبره ، مبارک هرکی واسه خودش ارزش قائل میشه",No,Yes,Yes,No,No,No
"مچ دست من بزرگ هست و هر ساعتی به دستم نمیخوره ، این ساعت به راحتی رو دستم نشست ، برای افرادی که ساعت باز هستند در کنار ساعتهای برندشون ساعت خوبی هست برای مهمونی جهت تنوع . موفق باشید .",Yes,No,Yes,No,Yes,No
از نظر من نسبت به قیمت کیفیت خیلی خوبی داره برای هدیه دادن واقعا مناسبه ظاهرش به این قیمت نمیخوره و با عکس خود سایت تفاوتی نداره,Yes,Yes,Yes,No,No,No
"من ساعت های زیادی داشتم و همه نوع ساعتی رو نمیپسندم ، اما وقتی این ساعت به دستم رسید تعجب کردم چون از نظر وزن و طراحی ظاهری ، ابکاری بدنه و مقاومت شیشه خیلی نزدیک به کاسیو ادیفیس هستش تعرق دست من اسیدی هستش و خیلی از بند های استیل درجه 2 و پایین تر رو دست من دووم نمیارن اما خوشحالم که میبینم این بند تغییر رنگ نداده و کاملا براق بودن و درخشش اولیه خودش رو داره یه نکته دیگه ای هم که هست ، ساعت رو با خودم به استخر بردم و زیر اب باهاش شنا کردم اما ندیدم که اب داخلش بره",Yes,No,Yes,No,Yes,Yes
حدود یک هفته س استفاده کردم خوشم اومده در مورد دوام نمیتونم چیزی بگم تازه به دستم رسیده اما شیک و مورد پسنده در تخفیف بخرید خوبه,Yes,Yes,Yes,No,No,No
خوبه درکل میشه باهاش حال کرد خیلی باکلاس ولوکسه وبه چشم میاد من که راضیم الان یک ساله دارم باتریش هم هنوز تموم نشده,Yes,No,Yes,Yes,Yes,No
سلام به نظرم خوبه. خیلی خوشگله و به نظرم با قیمتی که من خریدم(230تومن) ارزشش رو داره و خیلیا میگن ضدآب هس ولی من جرات نداشتم امتحان کنم. خیلی نرم و انعطاف پذیر است,Yes,Yes,Yes,No,Yes,Yes
"سبکه، یه نقطه مشکی روی پیچ تنظیمش هست که تو ذوق میزنه، اون عدد تاریخ ثابته و تکون نمیخوره ، فقط نمایشیه، بندش قشنگه و اصلا به همچین قیمتی نمیخوره و با ارزش تر به نظر میرسه، در مجموع ارزش خریدش ۸۰ از ۱۰۰ هست. ریسک نکنید همین انتخاب بهتری نسبت به بقیه هستش.",Yes,Yes,Yes,No,No,No
ساعت عالی بی نظیره توصیه میکنم حتما بخرید من برای پدرم گرفتم خیلی خوشش اومده بود فقد کمی سنگینه و شب نما نیست عقربهاش,Yes,No,Yes,No,Yes,No
"جنس کیفیت و بند پائین تر از عکس هاست، عقربه های شب نما عملا کار نمی کنند، در هنگام تنظیم ساعت ساختار ساعت به نحوی است که اعداد تاریخ نیز جابه جا می شوند، سگک بسیار ابتدایی و سخت بسته می شود.با قیمت مشابه از سایر برندهای مشابه نظیر کاسیو می توان محصول بهتری انتخاب کرد.",Yes,Yes,Yes,Yes,Yes,No
من یک سالی هست از دیجی کالا گرفتم خوبیش اینه بدنه و بندش استیل با کیفیتیه اما متاسفانه گردی روش ول میکنه و شروع به چرخیدن میکنه از من آب رفت توش باز کردم خشک کردم حالا بعضی وقتا مثلا یه روز در ماه عقب میفته اوایل دوسش داشتم ولی زود خراب شد صفحشم خط افتاد,Yes,No,Yes,Yes,No,Yes
از نظر زیبایی فوق العادس بهترین کادو نسبت ب قیمت رو دارع توصیه میکنم حتمن خریداری کنین واقعن ساعت چشمگیریه,No,Yes,Yes,No,No,No
نسبت به قیمت خوبه .. ولی وقتی تحویل گرفته بودم شب رنگ نداشت ... وزنش نسبتا سبکه ..توی عکسایی که گرفتم قطر ساعت و مدل قفل بندش مشخصه,Yes,Yes,Yes,No,Yes,No
وقتی سفارش به دستم رسید بردمش بیرون بند رو تنظیم کردم ساعت خوب و خوش ساختیه ولی فردا که خواستم ازش استفاده کنم دیدم که ساعت ایراد فنی داره یعنی عقربه ساعت شمار دارای زاویه انحرافه وقتی عقربه دقیقه شمار روی عدد دوزاده قرار داره عقربه ساعت شمار مثل عکسی که گذاشتم باید در محور قرمز قرار بگیره که در محور اشتباه (زرد رنگ) قرار میگیره در کل مرجوع کردم ولی قصد دارم وقتی مبلغ برگشت خورد مجدد همین رو سفارش بدم چون به نظرم کار خوب و باارزشیع,Yes,No,Yes,Yes,No,No
خیلی ساعت عالی هستش و با این قیمت یه محصولی با کیفیت خیلی بیشتر از این مبلغ رو تحویل میگیرین,Yes,Yes,No,No,No,No
پین تنظیم ساعتش یه مقدار نشکل داره متاسفانه قیمتش خیلی نسبت به اون زمانی که من خریدم بیشتر شده و فلزی که به انوان مچ بند ساعت به کار میره خیلی بزرگه و نیاز به تنظیم داره,Yes,Yes,No,No,Yes,No
از نظر قشنگی قشنگه اما ساعت ضعیفیه تک موتوره است بدرد کادو دادن نمیخوره انچنان چشم نواز نیست,No,No,Yes,Yes,No,No
واقعا با این هزینه ای که میکنید هیچ ساعتی به خوشگلی و کیفیت این ساعت بهتون نمیدن,Yes,Yes,Yes,No,No,No
باسلام خدمت هموطنان عزیزم که به دنبال خرید یک ساعت متوسط ودرعین حال شیک ودقیق هستند باید عرض کنم که بنده خریداین ساعت راتوصیه میکنم واقعا نسبت به قیمتش ارزش خریدن داره البته؟اگرحرف مردم درموردبندبراتون مهم نیست .,Yes,Yes,Yes,Yes,No,No
"برا تولد نامزدم خریدم ک خیلی دوسش داشت و واقعا شیکه و قیمت مناسب ، الان ۴ ماهه استفاده میکنه و همچیش سالم و اوکیه",Yes,Yes,Yes,Yes,Yes,No
بسیار شکیل و زیبا خوش دست عقریه ها شب تاب نور کمی منکسل میکند بند ساعت به عنوان استیل بسیار سبک است درکل نسبت به قیمت ارزش خرید داره,Yes,Yes,Yes,No,Yes,No
مدت کار کردن ساعت که هنوز مشخص نیست مهمه و بیشتر این ساعت از نظر طراحی خیلی خوبه .,No,No,Yes,No,No,No
من این ساعتو برای کادو سفارش دادم خیلیم استرس اینو داشتم کە اون چیزی کە مد نظرمە نباشە و کالای مرجوعی یا شکستە بە دستم برسە کە این طور نبود خیلی شیک و زیبا هستش فقط یکم دستبندش بزرگە کە مشکلی از این بابت نیست.,No,No,Yes,No,Yes,No
ساعت خوب و شیکیه فقط اینکه دستبندش بلنده و باید بدین ساعت فروشی کوتاهش کنن تا اندازه دستتون بشه,No,No,Yes,No,Yes,No
"برخلاف خوش دست بودن وقشنگی متاسفانه ساعتی که ما انتخابش کردیم ،عقربه دقیقه شمارش عقب میمونه",Yes,No,Yes,Yes,Yes,No
این ساعت برای تولد پدرم خریدم با تخفیف شده بود 370 ساعت شیک و سنگینی است مخصوصا برای بزرگتر ها,No,Yes,Yes,No,No,No
"ظاهر خوبی داره و مشکل عمده‌ای از نظر ظاهری نداره گرچه از نظر ظاهر هم معلومه که با کیفیت نیست ولی ایراد یا خرابی‌ای در ظاهرش وجود نداره قسمت‌های فلزی ساعت به نظر آبکاری میاد که امیدوارم رنگش رو از دست نده پیچ تنظیم یک مرحله‌ای هست و تاریخ رو تغییر نمیده، مجبور شدم برای تنظیم تاریخ به ازای هر روز ۲۴ ساعت بچرخونمش تا به ۱۲ شب برسه و تاریخش یک روز بره جلو",Yes,No,Yes,No,Yes,No
بسته بندی خودش نیست و کارت ضمانت رو نداره من دو عدد سفارش دادم ولی هر دو از عقربه دچار مشکل هستن و عقربه ساعت شمار نیم ساعت جلو تره یعنی وقتی من ساعت رو ۱۲ تنظیم میکنم دقیقه شمار رو صفر دقیق‌ست ولی ساعت شمار ۱۲.۳۰ عکس میزارم ببینین,Yes,No,Yes,Yes,No,No
ساعت شیک و زیبایی است. نسبت به قیمت ارزش خرید دارد. البته ساعت های گرانتر هم هستند و از این بهتر هم است.,Yes,Yes,Yes,No,No,No
اگه بخوام کلی بگم ساعت خوب و خوش ساختیه و نسبت به هزینه ای که میکنید گزینه ی مناسبی هست امیدوارم تو بلند مدت هم کارنامه ی خوبی به جا بزاره,Yes,Yes,Yes,No,No,No
این برند شناخته شده نیست ولی هم ضد آبه هم کارییش خوبه.من خریدم و راضی هستم.تاریخ شمار هم داره.با این قیمتها ساعت نمیشه خرید.بخرید ضرر نمیکنید.,Yes,Yes,No,Yes,No,Yes
داخل عکس ها خیلی گنده بنظر میومد ولی الان که به دستم رسیده اندازه عالی و مناسبه,No,No,Yes,No,Yes,No
