Yes,Quality-related aspects,Price and value,Performance and functionality,Design and features,Ease of use and usability
سلام به دوستای گلم. این کامنت مفصل را محض گل روی با مرامایی میذارم که اگه روزی پنج شش شات قهوه نزنن مثه خودم تا شب پکر میمونن و سر حال نمیان. من برای خرید این دستگاه زیگما مردد بودم اما بعد از تحقیق وقتی خریدم واقعا بالاتر از توقعم بود و جدی عالی بود. حالا چند نکته مهم: ۱. اولا در مورد قیمت این دستگاه که عالیه و از ارزونیش نترسید. همین دستگاه با همین قدر توان بهتون بهترین اسپرسو را میده مطمئن باشید. ۲. مهم ترین نکته در اسپرسو فوم هست بچه ها. اسپرسو یعنی فوم و فوم یعنی اسپرسو,No,Yes,Yes,No,No
"به شدت به کسانیکه میخوان از مرحله ی موکاپاده رو گازی، به دستگاه خانگیه ساخت اسپرسو انتقال پیدا کنن توصیه میشه .. سبک، زیبا، پرقدرت (نسبت به قیمت) و مقرون به صرفه، برای سرویس کردن کاملش هم میتونید کلیپهای آموزشیشو داخل اینترنت جستجو کنید، توجه کنید که حتما از آب تصویه شده و یا آب جوشیده سرد شده استفاده کنید،، که هم قهوه ی خوش طعم تری تحویل بگیرید و هم عمر دستگاهتون بیشتر بشه و کمتر جرم بگیره،، چنوقت یکبار هم میتونید از پودر جرم گیر دستگاه قهوه ساز استفاده کنید،",No,Yes,Yes,Yes,No
خوبه دستگاه کف خیلی خوبی روی اسپرسوداره فقط زمان اسپرسو دستی باید درست کرد تایم و اندازه ش تو دست آدم نیس,No,No,Yes,Yes,Yes
"نسبت به قیمت، دستگاه مناسبی هست برای استفاده حرفه ای تر باید بسکتش رو با بسکت غیرفشرده سایز ۵۱ جایگزین کرد بیشتر از ۱۴ گرم قهوه جا نمیگیره و میریزه و اگر قهوه حرفه ای میخواید ازش بگیرید سینگل ۱۰ گرم بگیرید یا اگر دبل میخواید بگیرید کمتر از دستگاه های حرفه ای عصاره گیری کنید تا قهوه غلیظ تری داشته باشید در ضمن کم بودن ارتفاعش باعث میشه تا پیچر رو به راحتی نتونید داخل نازل بخار ببرید و نازل بخار هم فقط افقی حرکت میکنه و کاملا آزاد نیست‌ در کل برای استفاده مبتدی انتخاب خوب .",Yes,Yes,Yes,Yes,Yes
من همه ی دو هزار نظر سایت دیجی کالا را خواندم و این کالا را خریدم . همه ی حرف دوستان تقریبا درسته . چون قبلا دستگاه نوا ۱۴۹ را امتحان کردم باید بگم دستگاه های همین رنج قیمت هیچ فرقی ندارن و عملکردشون یکسانه و برای مصرف خانگی و گاهی کاملا مناسبه و با توجه به قیمت ۲۲۰۰ آن مناسبه و لازم نیست خیلی بیشتر هزینه بشه مگر اینکه یک کار حرفه ای بیست میلیونی خریداری بشه . دستگاه خیلی پلاستیکی است و من از اول با مخزن پلاستیکی پشتش خیلی مشکل داشتم ولی با علم به آن خریدمش . ,Yes,Yes,Yes,Yes,No
اسپرسوی زیگما 222 به نسبت قیمت ارزان این سری اسپرسو سازهای 85Yes وات که از همه اسپرسوسازها ارزانتره اسپرسوی خوبی می دهد ولی در قیاس با اسپرسوسازهایی مثل نوا Yes28 یا مباشی 2Yes5Yes خامه اسپرسو با وجود ضخامت چشمگیر کف روش (حدود 2 سانتیمتر) ناپایداره و خامه ای غلیظ و پایدار نمی دهد بطوریکه پس از دو سه دقیقه کف از روی قهوه ناپدید میشه . برای محل کار یا کسی که قصد داره یک اسپرسوساز ارزان بخره مناسبه ولی کسی که اسپرسوی قوی می خواد از مدلهایی مثل نوا Yes28 یا مباشی 2Yes5Yes خرید کنه..,No,Yes,Yes,No,No
وقتی به دستمون رسید تانک آب و خود دستگاه شکسته یود ... قشنگ مشخص بود که قبلا یه نفر دیگه مرجوعش کرده چون چسبهای آکبندی هم باز شده بود... با خود فروشنده تماسگرفتیم برخوردشون افتضاح بود ... واقعا ما به اعتبار دیجی کالا خرید می کنیم این درست نیست که اینقدر آدم رو علاف کنند بعد هم کالای نامرغوب و شکسته و دست دوم بفرستن,Yes,No,No,No,No
"به شیش ماه نرسیده که خراب شد! اما نکته مهم این هست که این دستگاه اسما با گارانتی فروخته میشه، در صورتی که هیچ سایت، شماره تلفن و آدرسی از شرکت گارانتی (romantic home) در اینترنت وجود نداره! در حقیقت عملا گارانتی نداره این کالا!",Yes,No,No,No,No
"متاسفانه از لحاظ زمان ارسال 4 روز دیرتر رسید ، ولی خوشبختانه سالم بود و از کارکردش راضیم.",No,No,Yes,No,No
"بسیار دستگاه خوبیه، خیلی پرقدرت و فوق العاده نیست اما به راحتی میشه اسپرسو و فوم درست کرد باهاش و برای خونه کافیه. دستگاه بنده بدون مشکل یا شکستگی رسید و زیبا هم هست. بدنه اش پلاستیکیه و پلاستیک خیلی مقاومی هم به نظر نمیرسه، فقط همین قسمت های جلویی فلزی هستند. فشار بخاری که تولید میکنه هم اونقدر ها زیاد نیست در نتیجه فقط برای دو لیوان قهوه میتونید ازش فوم بگیرید یعنی تو پارچ به اندازه ای که دو لیوان قهوه فوم شیر نیاز داره بریزید و خیلی خوب در میاد.",Yes,No,Yes,Yes,Yes
بیشتر از هشت ماه هست که از این دستگاه مداوم استفاده میکنم. پمپ و بویلر بسیار قوی علیرغم اینکه از یه مارک ارزون و بی نام و نشون انتظار چندانی ندارید ولی کیفیت ساخت محصول عالی هست. ظاهرش خیلی شیکه و استیل براق و با کیفیتی جلوش کار شده. تنها ایرادش اینه که مخزن آبش خیلی بوی پلاستیک بدی میده و روی طعم قهوه ای که میخوردید اثر میذاره. این هم بگم که قسمت فلزی بالاش گرم نمیشه یه فکر نکنید چون فلزیه گرمکن فنجون داره. بخارش هم خدایی بد نیست البته من نتونستم کف شیر ایده آل ازش بگیرم.,Yes,Yes,Yes,Yes,No
من از فروشنده درجه یک بازرگانی پارادایس خریدم کاملا آکبند و بسته بندی خوب ارسال کردن باورم نمیشه قهوه ای که میده باکیفیت تر از دستگاه نوا هست هم داغ هم کرمای بسیار خوب انشالا همینجور بتونه خوب کار بکنه,Yes,No,Yes,No,No
بازرگانی شکار همه ابرات آلات داخل کارتن رو برمیداره یعنی دزدی میکنه دستگاه خوبه ها ولی از شاکری نخریده ابزار آلات داخل کارتن نمیندازه دستگاه هم پلمب نیست,No,No,No,No,No
تو یه هفته قیمتش ۶۰۰ الی ۷۰۰ تومن گرون شده. کاش دیجی کالا یه نظارتی رو قیمت ها داشته باشه,No,Yes,No,No,No
برای دفترمون مباشی خریدیم با قیمت بالاتر ولی من برای خونمون این دستگاه رو خریدم که خیلی بیشتر از دستگاه دفترمون ازش راضیم استیمرش قدرت خوبی داره و قهوه خوبی هم میده.من کافه رستوران داشتم و با دستگاه های حرفه ای کار کردم به نظرم این دستگاه برای مصارف خونگی عالیه,No,Yes,Yes,No,No
"خیلی عالی بود، کلی تحقیق کردم. مباشی زیگما نوا دلونگی ندوا،هرکی یچیزی گفت. آخر کار خودمو کردم اینو خریدم. همه چیز خوب اگه کار کردن باش رو یاد بگیرید که به مرور زمان یاد میگرید، میتونید هم قهوه خوبی در بیارید هم کاپوچینو و... فوم گیری هم قلق داره بعد چند بار دستتون میاد. من راضی بودم خیلی زیاد. تشکر از دیجی کالا",No,No,Yes,No,Yes
سلام ازفروشنده ممنونم واقعادست شان دردنکنه 2روززودترازموعدارسال کردن واسپرسوسازخیلی خوبی هست اینم عکس گرفتن اسپرسوعالی هست این عکس هاهم بعدازیکماه استفاده گرفتم گذاشتم دوستان ببینن,Yes,No,Yes,No,No
"واسه من تامین کننده کالا دستگاهی فرستاده که پر خط و خشه. عکسشو میذارم ببینید... ولی در کل تو رنج قیمت 2.5میلیون دستگاه‌ خوبیه. تامین کننده های کالا اینو مد نظر داشته باشن که مشتری مجازی قرار نیست کالای ته انباری و معیوب رو خریداری کنه. طرف داره هزینه میکنه، خوبه تو این شرایط گرونی و... هوای همدیگه رو داشته باشیم. ضمنا آموزش استفاده از دستگاه توی سایت آپارات و یوتیوب موجوده. کافیه فقط سرچ کنید.",Yes,Yes,Yes,No,Yes
من تقریبا همه نظرات رو خوندم و واقعا خوشحالم از انتخابم دستگاه بسیار خوبیه. هم اسپرسو خوبی میده هم کف شیر عالی برای من که لته می خورم همه چیز عالیه,Yes,No,Yes,No,No
"دوستان من نظرمو بعد از سه هفته استفاده بهتون میگم،دستگاه من بعد از سه هفته خراب شد و پمپ سوزوند،دو تعمیرکار مختلف گفتن این دستگاه ساخت ایران هست و قطعات (بویلر وپمپ)که اصلی ترین قطعات سازنده اسپرسو ساز میباشد بسیار جنس بی کیفیت و بدی داره به طوری که به من گفتن دستگاهو دور بندازم چون پمپ دستگاه نزدیک ۱۲۰۰ بود و گفتن اگه عوض هم بکنم به علت اینکه بویلر این دستگاه هم ضعیفه میزنه دوباره پمپو میسوزونه،یعنی من ۱۷۰۰تومن رو علناً دور ریختم ودستگاهو باید بندازم دور. .",Yes,No,Yes,No,No
"دستگاه در یک پلاستیک بود و خبری از جعبه و ضربه گیر نبود، ولی خدا رو شکر سالم بدستم رسید فقط هواگیری دستگاه خیلی اذیت کرد که با چند بار تکرار موفقیت آمیز بود. ",No,No,No,No,Yes
کالا شکسته به دستم رسید‌ و پر از خط و خش.مرجوع کردم.منتظر برگشته هزینه بودم از ۲۴۰۰ شد ۳۵۰۰🤔🤔چطور ممکنه تو۲ روز!که خوب البته از شرایط بدمون خیلیم دور از ذهن نیست. دیگه نخریدم.البته با قیمت ۲۵۰۰ اینا خوب بود‌.چون قسمته دکمه ها پلاستیکه.مخزن اب سبکه.کل دستگاه بیتر از پلاستیکه تا استیل.اما واقعا به نظرم واسه ۳۵۰۰ یکم بیشتر بزارید مارکه بهتر یا مدله بهترشو بگیرید,Yes,Yes,No,Yes,No
"بعداز۱۰روز رسید دستم،اونم خراب.زنگ زدم پشتیبانی،گفتن بایدمرجوع بشه.اصلا آبو داغ نمیکنه و چراغ سبز دائم روشنه.من۹۸بارازدیجیکالا خرید داشتم.این بار خیلی حالم گرفته شد",Yes,No,Yes,No,No
این یکی از بهترین خرید های من بوده چون این اسپرسو با این کیفیت رو باید با برند های دیگه سه الی چهار برابر بیشتر پول بدی تا بدست بیاری بسیار خوب به قدرت و کیفیت دستگاه توجه شده نسبت به دستگاه های همطراز صدای خیلی بهتری داره و در واقع کم صداست و این مزیت بزرگیه کیفیت تولید کف شیر بسیار عالی و فراتر چیزی هست که تصور میکردم هم اسپرسو هم کاپوچینو هم لاته و هم امریکانو رو عالی تحویل میده فقط باید نکات مهم استفاده از دستگاه رو بلد باشید و از قهوه خوب استفاده کنید.,Yes,Yes,Yes,No,Yes
"من تعمیرکارم ووقتی این دستگاهو بخاطر اعمال تغییرات اساسی باز کردم متوجه شدم که همه دستگاههای خونگی ۹۸درصد همه قطعات یکیه فقط فرقشون بخاطر یه برد هست که بعضیا دارن بعضیا ندارن که واسه تنظیمات دمای اب وبعضی مدلها فشار اب هست .ولی درکل قیمتش زیاده برا دوتا قطعه که داخل به جعبه گذاشتن ،متاسفامه اینجا وطنه و راه دیگه ای نداریم همه چی گرونه",No,Yes,No,Yes,No
"من ، وقتی بدستم رسید مخزن اب وصل میکردم نشتی اب داشت خیلی هم زیاد ،مرجوعش کردم گفتن مشکل نداره همون طور پس دادن ، واقعا متاسفم سرویس دهی دیجیکالا افتضاح ، دیگه وسیله برقی نمیخرم ازش",Yes,No,Yes,No,No
من این اسپرسو ساز رو به مدت یک ماهه که خریدم و در کل ازش راضی هستم فوم خوبی میده و نازل استیم واندش هم به خوبی شیر رو به فوم میاره منتها کاملا برای استفاده خونگی و در حد یکی دو نفر خوبه به نظر میرسه ظرفیت مخزن بخارش کم باشه چون حتی یک فنجون اسپرسو دبل هم که بخواید بگیرید باید بالای سر دستگاه باشید و بعد از حدود 3Yes الی 4Yes سی سی علامتی که نشون میده بخار کافی برای عصاره گیری وجود داره خاموش میشه و شما باید عصاره گیری رو متوقف کنید و حدود 2Yes ثانیه بهش زمان بدید,Yes,No,Yes,Yes,Yes
"باسلام دوستان این دستگاه به قیمتی که داره خوبه. قدرت فشار بخار عالی هست، بخارش خوبه، بدنه زیاد ضخیم نیست برای منزل مناسبه نه مغازه و کافی شاپ. درجه نشانگر بخار نداره، بجاش چراغ سبز داره، به همین دلیل قیمتش کمتره.البته میشه درجه هم روش نصب کرد با هزینه 5YesYes تومن. دستگاه برای من نو و بدون استفاده رسید، کارتن سالم و دستگاه آکبند. ابتدا دفترچه فارسی مطالعه کنید و هواگیری یاد بگیرید بعد چند بار از دستگاه آب جوش بگیرید تا شسته بشه مجاری عبور آب",Yes,Yes,Yes,Yes,Yes
عالی عالی عالی واسه استفاده خونگی عالیه با این قیمت اصلا توقع نداشتم با این کیفیت بالا اسپرسو بزنه در حد گرونترین اسپرسوسازها قهوه درست میکنه,Yes,Yes,Yes,No,No
سلام.من تجربه کار با دستگاه دلونگی685 رو دارم..درخرید این دستگاه تردید داشتم دیروز به دستم رسید. خیلی سورپرایز شدم.عصاره گیری به مراتب از دلونگی بهتر گرفت و یک قهوه عالی بهم داد! تنها ضعفش نداشتم توری تک کاپ هست که باید جدا تهیه کرد..در کل اگر مثل من تردید دارید باخیال راحت بخرید. عکس هم گذاشتم. ممنون دیجی,No,No,Yes,No,No
خیلی خوبه فقط اینکه حتما اینا رو توجه داشته باشید تو خرید پودر قهوه ای که میخرین دقت کنین چون اگه ریز زیاد بکنی داستان میشه درشت کنی داستان میشه من خودم با اینکه دو هفته دارم هنوز سرش داستان دارم اول از جای معتبری بپرسید چه قهوه ای خوبه همون استفاده کنین بعدش اینکه چند وقت به چند وقت آب جوش رو روشن کنید یا بخار رو که یکم هواگیری بشه اینجوری بهتره بعدشم اینکه این مثل قهوه ساز های به اصطلاح صنعتی نیست که هر دیگه استفاده کنین برای تفریح مثلا یه بار حوس‌ می‌کنی میخوری ,Yes,No,No,No,Yes
