Yes,Quality,Size,Price,Comfort,Material
خوبه ولی یک کفی طبی باید براش بگیری,Yes,No,No,No,No
شیک و باکلاس.بادوام و در کل عالی فقط قالب سایز یک سایز بزرگتر است و کوچکتر سفارش دهید,No,Yes,No,No,No
بی‌کیفیت بود با کمتر از این قیمت هم همین کیفیت میشه پیدا کرد بند و کفش پارگی جزئی داشت دوخت داخلش ایراد داش و کمی هم پارگی احساس می‌کردم چون خرید آنلاینه فروشگاه اهمیت نمی‌داد به کیفیت,Yes,No,Yes,No,No
"جنس خوبی داره کفی مناسب نسبت به این قیمت خیلی خوبه

جنس و دوخت و کفی مناسب",Yes,No,Yes,No,Yes
"این پنجمین باریه که دارم این کفش رو برای خودم سفارش میدم، برای پسرم هم دوبار سفارش دادم یه جفت برا کوه نوردی دارم یه جفت هم برای سر کار شک نکنید جنسش هم واقعا عالیه",Yes,No,No,No,Yes
کیفیت و قیمت مناسب هست,Yes,No,Yes,No,No
بسیار راحت و گرم و با استحکام,Yes,No,No,Yes,No
دور دوز کم داره و باید چند باری کوهنوردی کنم تا نظر بدم,No,No,No,No,No
سبک هست و جا برای تنفس پا داره,No,No,No,Yes,No
برا خانما مناسب نیست ظاهر بزرگی داری,No,Yes,No,No,No
فکر کنم هرکس نوشته خوب بود شانس آورده یا خودش سازنده بوده کفشی که برای من رسید نخکش شده بود نخا بیرون زده بود کفه کفش پره سوراخ بود و اصلا به 2YesYes تومنم نمی ارزید منکه مرجوع کردم,Yes,No,Yes,No,No
"کفی نرم ، خوبه نسبت قیمت",Yes,No,Yes,Yes,Yes
با توجه به قیمت قابل قبوله,Yes,No,Yes,No,No
توی شگفت انگیز با قیمت ۴۰۰ خرید کردم جنسش خوبه دور دوزی نداره راحته,Yes,No,No,Yes,Yes
"برای دخترم سفارش دادم و همون شماره پاش بود که خدا رو شکر اندازه اش بود فقط کمی جنسش خشکه

شیک و زیبا

اندازه دقیق

جنس خشک و شکننده",Yes,Yes,No,No,Yes
"با توجه به راهنمایی های خریداران ، سایز 43 خریداری شد  رنگ خاکی روشن است که باید از نظر تمیز نگه داشتن دقت نمود  کف و بدنه کفش راحتی و نرمی قابل قبول دارد و نمیتوان ایراد گرفت  وزن کفش های سایز فوق به همراه بندها مجموعا 683 گرم بوده که بنظرم بسیار سبک می‌باشد  قالب کفش کمی ظاهر بزرگ دارد که شاید برای پاهای ظریف و ساق باریک ، جذاب نباشد  البته این مورد کاملاً سلیقه ای است و ایراد محسوب نمیشود چون کفش کوهنوردی بوده  جنس کف پلاستیک تزریقی بوده که ضمن نرمی ، کیفیت متوسط دارد و در کوهپیمایی و ضربه به سنگ و خاشاک ، دوام آن نامشخص است  بدنه پارچه ای اما داخل آن فوم یا اسفنج بکار رفته که محافظ پا می‌باشد  اندازه به سانتیمتر در سایت نوشته نشده ، به همین دلیل شاید انتخاب بر اساس شماره کمی مشکل باشد چون تجربه نشان داده که همیشه قالبها با شماره همخوانی ندارد  جهت آگاهی ، اندازه کف کفش از بیرون طول 3Yes و عرض در قسمت جلو YesYes سانتیمتر و از داخل طول کفش 27 سانتیمتر می‌باشد.  میتوانید از کفشهای داخل خانه و کف پای خود جهت اندازه‌گیری استفاده کنید  در مجموع در تخفیفات ارزش خرید دارد ... قیمت خریداری شده 4Yes9 هزار تومان",Yes,Yes,No,Yes,Yes
سایز 4Yes و44 رو برای خودم و همسرم گرفتم هردو سایز کمی بزرگتر بودن. با دوتا جوراب پوشیدن هم باز کیپ نمیشد. ناچار شدم مرجوع کنم. از لحاظ کیفیت خوب بود هم سبک هم نرم و لطیف,Yes,Yes,No,Yes,No
